index,time_iso,relative_ms,delta_ms,direction,src_ip,src_port,dst_ip,dst_port,wire_len,captured_len,ip_len,seq,ack,flags,tcp_payload_len,payload_hex,section,interface_id
22,2026-08-13T10:01:29.310434+03:00,144.438,1.222,DEV->PC,192.168.9.155,4000,192.168.3.65,53181,178,178,164,4237138705,1893634725,ACK|PSH,124,FE CA A0 A0 7C 00 00 00 00 00 00 00 00 40 90 0C 82 8A 30 AC 0C 42 B2 C2 34 00 01 00 00 00 00 00 58 00 00 00 BA 57 FB 3C 00 00 00 00 47 03 49 3B 00 00 00 00 F1 01 A1 39 00 00 00 00 00 00 80 3F 00 00 00 00 52 0A 80 3F B0 DB 95 BA 00 00 00 00 00 00 00 00 00 00 80 3F 00 00 00 00 05 4F 96 40 18 25 77 40 95 2A F0 40 60 1F B1 40 17 D3 18 40 AA 46 30 40 53 5B 44 40 00 B6 86 40,1,0
23,2026-08-13T10:01:29.312683+03:00,146.687,2.249,PC->DEV,192.168.3.65,53181,192.168.9.155,4000,102,102,88,1893634725,4237138829,ACK|PSH,48,FE CA A0 A0 29 00 00 00 00 40 90 0C 50 70 6A 09 87 FA 5A A5 0C F1 0C F1 34 00 01 00 00 00 00 00 58 00 01 00 04 00 02 00 01 00 00 00 00 00 00 00,1,0
24,2026-08-13T10:01:29.312903+03:00,146.907,0.22,DEV->PC,192.168.9.155,4000,192.168.3.65,53181,64,64,40,4237138829,1893634773,ACK,0,,1,0
25,2026-08-13T10:01:29.314147+03:00,148.151,1.244,DEV->PC,192.168.9.155,4000,192.168.3.65,53181,178,178,164,4237138829,1893634773,ACK|PSH,124,FE CA A0 A0 7C 00 00 00 00 00 00 00 00 40 90 0C 82 8A 30 AC 0C 42 B2 C2 34 00 01 00 00 00 00 00 58 00 00 00 15 58 FB 3C 00 00 00 00 65 03 49 3B 00 00 00 00 D9 FB A0 39 00 00 00 00 00 00 80 3F 00 00 00 00 24 09 80 3F 51 7F C5 BA 00 00 00 00 00 00 00 00 00 00 80 3F 00 00 00 00 BF AB B1 40 31 F8 8A 40 4D E2 08 41 C9 D9 BB 40 A5 30 66 40 45 F0 4C 40 9D 00 80 40 04 04 91 40,1,0
26,2026-08-13T10:01:29.315542+03:00,149.546,1.395,PC->DEV,192.168.3.65,53181,192.168.9.155,4000,102,102,88,1893634773,4237138953,ACK|PSH,48,FE CA A0 A0 29 00 00 00 00 40 90 0C 50 70 6A 09 87 FA 5A A5 0C F1 0C F1 34 00 01 00 00 00 00 00 58 00 01 00 04 00 02 00 02 00 00 00 00 00 00 00,1,0
27,2026-08-13T10:01:29.315784+03:00,149.788,0.242,DEV->PC,192.168.9.155,4000,192.168.3.65,53181,64,64,40,4237138953,1893634821,ACK,0,,1,0
28,2026-08-13T10:01:29.316925+03:00,150.929,1.141,DEV->PC,192.168.9.155,4000,192.168.3.65,53181,178,178,164,4237138953,1893634821,ACK|PSH,124,FE CA A0 A0 7C 00 00 00 00 00 00 00 00 40 90 0C 82 8A 30 AC 0C 42 B2 C2 34 00 01 00 00 00 00 00 58 00 00 00 29 57 FB 3C 00 00 00 00 DC 02 49 3B 00 00 00 00 FA F0 A0 39 00 00 00 00 00 00 80 3F 00 00 00 00 F5 13 80 3F 59 66 BB BA 00 00 00 00 00 00 00 00 00 00 80 3F 00 00 00 00 EB 02 CC 3F 61 4F 60 40 B0 10 8D 40 DB 7A 9F 40 78 F1 BE BE B9 17 12 40 AB 0C A9 BD 65 A8 6C 40,1,0
29,2026-08-13T10:01:29.318883+03:00,152.887,1.958,PC->DEV,192.168.3.65,53181,192.168.9.155,4000,102,102,88,1893634821,4237139077,ACK|PSH,48,FE CA A0 A0 29 00 00 00 00 40 90 0C 50 70 6A 09 87 FA 5A A5 0C F1 0C F1 34 00 01 00 00 00 00 00 58 00 01 00 04 00 02 00 03 00 00 00 00 00 00 00,1,0
30,2026-08-13T10:01:29.319090+03:00,153.094,0.207,DEV->PC,192.168.9.155,4000,192.168.3.65,53181,64,64,40,4237139077,1893634869,ACK,0,,1,0
31,2026-08-13T10:01:29.320225+03:00,154.229,1.135,DEV->PC,192.168.9.155,4000,192.168.3.65,53181,178,178,164,4237139077,1893634869,ACK|PSH,124,FE CA A0 A0 7C 00 00 00 00 00 00 00 00 40 90 0C 82 8A 30 AC 0C 42 B2 C2 34 00 01 00 00 00 00 00 58 00 00 00 C5 57 FB 3C 00 00 00 00 1C 03 49 3B 00 00 00 00 0F F5 A0 39 00 00 00 00 00 00 80 3F 00 00 00 00 06 0E 80 3F 68 E9 9D BA 00 00 00 00 00 00 00 00 00 00 80 3F 00 00 00 00 5B 60 D5 40 C1 80 92 40 A6 5D 1B 41 46 94 C3 40 6D 00 97 40 63 62 57 40 EA 24 A2 40 83 17 93 40,1,0
