# MIC-185 192.168.9.155:4000; packets=794
# idx  relative    delta direction flags      seq        ack        payload wire
   364  39303.996   50.948 PC->DEV ACK        2344489401 4259217105       0    54
   365  39402.798   98.802 DEV->PC ACK        4259217105 2344489401    1460  1514
   366  39403.005    0.207 DEV->PC ACK        4259218565 2344489401    1460  1514
   367  39403.006    0.001 DEV->PC ACK|PSH    4259220025 2344489401    1220  1274
   368  39403.191    0.185 PC->DEV ACK        2344489401 4259221245       0    54
   369  39552.807  149.616 DEV->PC ACK        4259221245 2344489401    1460  1514
   370  39552.918    0.111 DEV->PC ACK        4259222705 2344489401    1460  1514
   371  39552.935    0.017 PC->DEV ACK        2344489401 4259224165       0    54
   372  39552.979    0.044 DEV->PC ACK|PSH    4259224165 2344489401    1220  1274
   373  39597.953   44.974 PC->DEV ACK        2344489401 4259225385       0    54
   374  39687.408   89.455 DEV->PC ACK|PSH    4259225385 2344489401      84   138
   375  39702.774   15.366 DEV->PC ACK        4259225469 2344489401    1460  1514
   376  39702.824    0.050 PC->DEV ACK        2344489401 4259226929       0    54
   377  39702.885    0.061 DEV->PC ACK        4259226929 2344489401    1460  1514
   378  39702.952    0.067 DEV->PC ACK|PSH    4259228389 2344489401    1220  1274
   379  39703.159    0.207 PC->DEV ACK        2344489401 4259229609       0    54
   380  39852.790  149.631 DEV->PC ACK        4259229609 2344489401    1460  1514
   381  39852.892    0.102 DEV->PC ACK        4259231069 2344489401    1460  1514
   382  39852.898    0.006 PC->DEV ACK        2344489401 4259232529       0    54
   383  39852.999    0.101 DEV->PC ACK|PSH    4259232529 2344489401    1220  1274
   384  39906.730   53.731 PC->DEV ACK        2344489401 4259233749       0    54
   385  40002.866   96.136 DEV->PC ACK        4259233749 2344489401    1460  1514
   386  40002.969    0.103 DEV->PC ACK        4259235209 2344489401    1460  1514
   387  40002.976    0.007 PC->DEV ACK        2344489401 4259236669       0    54
   388  40003.091    0.115 DEV->PC ACK|PSH    4259236669 2344489401    1304  1358
   389  40045.028   41.937 PC->DEV ACK        2344489401 4259237973       0    54
   390  40152.814  107.786 DEV->PC ACK        4259237973 2344489401    1460  1514
   391  40152.922    0.108 DEV->PC ACK        4259239433 2344489401    1460  1514
   392  40152.937    0.015 PC->DEV ACK        2344489401 4259240893       0    54
   393  40152.983    0.046 DEV->PC ACK|PSH    4259240893 2344489401    1220  1274
   394  40199.467   46.484 PC->DEV ACK        2344489401 4259242113       0    54
   395  40302.795  103.328 DEV->PC ACK        4259242113 2344489401    1460  1514
   396  40302.900    0.105 DEV->PC ACK        4259243573 2344489401    1460  1514
   397  40302.916    0.016 PC->DEV ACK        2344489401 4259245033       0    54
   398  40302.962    0.046 DEV->PC ACK|PSH    4259245033 2344489401    1220  1274
   399  40353.784   50.822 PC->DEV ACK        2344489401 4259246253       0    54
   400  40452.799   99.015 DEV->PC ACK        4259246253 2344489401    1460  1514
   401  40452.895    0.096 DEV->PC ACK        4259247713 2344489401    1460  1514
   402  40452.901    0.006 PC->DEV ACK        2344489401 4259249173       0    54
   403  40452.967    0.066 DEV->PC ACK|PSH    4259249173 2344489401    1220  1274
   404  40508.177   55.210 PC->DEV ACK        2344489401 4259250393       0    54
   405  40602.804   94.627 DEV->PC ACK        4259250393 2344489401    1460  1514
   406  40603.023    0.219 DEV->PC ACK        4259251853 2344489401    1460  1514
   407  40603.024    0.001 DEV->PC ACK|PSH    4259253313 2344489401    1220  1274
   408  40603.206    0.182 PC->DEV ACK        2344489401 4259254533       0    54
   409  40687.461   84.255 DEV->PC ACK|PSH    4259254533 2344489401      84   138
   410  40740.902   53.441 PC->DEV ACK        2344489401 4259254617       0    54
   411  40752.863   11.961 DEV->PC ACK        4259254617 2344489401    1460  1514
   412  40753.006    0.143 DEV->PC ACK        4259256077 2344489401    1460  1514
   413  40753.006    0.000 DEV->PC ACK|PSH    4259257537 2344489401    1220  1274
   414  40753.181    0.175 PC->DEV ACK        2344489401 4259258757       0    54
   415  40902.752  149.571 DEV->PC ACK        4259258757 2344489401    1460  1514
   416  40902.858    0.106 DEV->PC ACK        4259260217 2344489401    1460  1514
   417  40902.873    0.015 PC->DEV ACK        2344489401 4259261677       0    54
   418  40902.919    0.046 DEV->PC ACK|PSH    4259261677 2344489401    1220  1274
   419  40956.894   53.975 PC->DEV ACK        2344489401 4259262897       0    54
   420  41002.644   45.750 DEV->PC ACK|PSH    4259262897 2344489401      84   138
   421  41049.133   46.489 PC->DEV ACK        2344489401 4259262981       0    54
   422  41052.752    3.619 DEV->PC ACK        4259262981 2344489401    1460  1514
   423  41052.840    0.088 DEV->PC ACK        4259264441 2344489401    1460  1514
   424  41052.886    0.046 PC->DEV ACK        2344489401 4259265901       0    54
   425  41052.951    0.065 DEV->PC ACK|PSH    4259265901 2344489401    1220  1274
   426  41095.193   42.242 PC->DEV ACK        2344489401 4259267121       0    54
   427  41202.766  107.573 DEV->PC ACK        4259267121 2344489401    1460  1514
   428  41202.860    0.094 DEV->PC ACK        4259268581 2344489401    1460  1514
   429  41202.876    0.016 PC->DEV ACK        2344489401 4259270041       0    54
   430  41203.023    0.147 DEV->PC ACK|PSH    4259270041 2344489401    1220  1274
   431  41247.785   44.762 PC->DEV ACK        2344489401 4259271261       0    54
   432  41352.788  105.003 DEV->PC ACK        4259271261 2344489401    1460  1514
   433  41352.895    0.107 DEV->PC ACK        4259272721 2344489401    1460  1514
   434  41352.910    0.015 PC->DEV ACK        2344489401 4259274181       0    54
   435  41352.955    0.045 DEV->PC ACK|PSH    4259274181 2344489401    1220  1274
   436  41403.063   50.108 PC->DEV ACK        2344489401 4259275401       0    54
   437  41502.754   99.691 DEV->PC ACK        4259275401 2344489401    1460  1514
   438  41502.862    0.108 DEV->PC ACK        4259276861 2344489401    1460  1514
   439  41502.878    0.016 PC->DEV ACK        2344489401 4259278321       0    54
   440  41502.924    0.046 DEV->PC ACK|PSH    4259278321 2344489401    1220  1274
   441  41542.680   39.756 PC->DEV ACK        2344489401 4259279541       0    54
   442  41652.770  110.090 DEV->PC ACK        4259279541 2344489401    1460  1514
   443  41652.873    0.103 DEV->PC ACK        4259281001 2344489401    1460  1514
   444  41652.882    0.009 PC->DEV ACK        2344489401 4259282461       0    54
   445  41652.946    0.064 DEV->PC ACK|PSH    4259282461 2344489401    1220  1274
   446  41686.677   33.731 DEV->PC ACK|PSH    4259283681 2344489401      84   138
   447  41687.815    1.138 PC->DEV ACK        2344489401 4259283765       0    54
   448  41802.740  114.925 DEV->PC ACK        4259283765 2344489401    1460  1514
   449  41802.842    0.102 DEV->PC ACK        4259285225 2344489401    1460  1514
   450  41802.858    0.016 PC->DEV ACK        2344489401 4259286685       0    54
   451  41802.904    0.046 DEV->PC ACK|PSH    4259286685 2344489401    1220  1274
   452  41851.706   48.802 PC->DEV ACK        2344489401 4259287905       0    54
   453  41952.755  101.049 DEV->PC ACK        4259287905 2344489401    1460  1514
   454  41952.868    0.113 DEV->PC ACK        4259289365 2344489401    1460  1514
   455  41952.886    0.018 PC->DEV ACK        2344489401 4259290825       0    54
   456  41952.945    0.059 DEV->PC ACK|PSH    4259290825 2344489401    1220  1274
   457  42002.557   49.612 DEV->PC ACK|PSH    4259292045 2344489401      84   138
   458  42002.754    0.197 PC->DEV ACK        2344489401 4259292129       0    54
   459  42102.749   99.995 DEV->PC ACK        4259292129 2344489401    1460  1514
   460  42102.856    0.107 DEV->PC ACK        4259293589 2344489401    1460  1514
   461  42102.871    0.015 PC->DEV ACK        2344489401 4259295049       0    54
   462  42102.917    0.046 DEV->PC ACK|PSH    4259295049 2344489401    1220  1274
   463  42145.809   42.892 PC->DEV ACK        2344489401 4259296269       0    54
   464  42252.760  106.951 DEV->PC ACK        4259296269 2344489401    1460  1514
   465  42252.859    0.099 DEV->PC ACK        4259297729 2344489401    1460  1514
   466  42252.865    0.006 PC->DEV ACK        2344489401 4259299189       0    54
   467  42252.923    0.058 DEV->PC ACK|PSH    4259299189 2344489401    1220  1274
   468  42300.802   47.879 PC->DEV ACK        2344489401 4259300409       0    54
   469  42402.777  101.975 DEV->PC ACK        4259300409 2344489401    1460  1514
   470  42402.886    0.109 DEV->PC ACK        4259301869 2344489401    1460  1514
   471  42402.903    0.017 PC->DEV ACK        2344489401 4259303329       0    54
   472  42402.947    0.044 DEV->PC ACK|PSH    4259303329 2344489401    1220  1274
   473  42454.222   51.275 PC->DEV ACK        2344489401 4259304549       0    54
   474  42552.759   98.537 DEV->PC ACK        4259304549 2344489401    1460  1514
   475  42552.862    0.103 DEV->PC ACK        4259306009 2344489401    1460  1514
   476  42552.878    0.016 PC->DEV ACK        2344489401 4259307469       0    54
   477  42552.941    0.063 DEV->PC ACK|PSH    4259307469 2344489401    1220  1274
   478  42595.292   42.351 PC->DEV ACK        2344489401 4259308689       0    54
   479  42686.803   91.511 DEV->PC ACK|PSH    4259308689 2344489401      84   138
   480  42702.715   15.912 DEV->PC ACK        4259308773 2344489401    1460  1514
   481  42702.761    0.046 PC->DEV ACK        2344489401 4259310233       0    54
   482  42702.822    0.061 DEV->PC ACK        4259310233 2344489401    1460  1514
   483  42702.898    0.076 DEV->PC ACK|PSH    4259311693 2344489401    1220  1274
   484  42703.053    0.155 PC->DEV ACK        2344489401 4259312913       0    54
   485  42852.754  149.701 DEV->PC ACK        4259312913 2344489401    1460  1514
   486  42852.950    0.196 DEV->PC ACK        4259314373 2344489401    1460  1514
   487  42852.951    0.001 DEV->PC ACK|PSH    4259315833 2344489401    1220  1274
   488  42853.119    0.168 PC->DEV ACK        2344489401 4259317053       0    54
   489  43002.794  149.675 DEV->PC ACK        4259317053 2344489401    1460  1514
   490  43002.899    0.105 DEV->PC ACK        4259318513 2344489401    1460  1514
   491  43002.915    0.016 PC->DEV ACK        2344489401 4259319973       0    54
   492  43002.962    0.047 DEV->PC ACK|PSH    4259319973 2344489401    1220  1274
   493  43002.963    0.001 DEV->PC ACK|PSH    4259321193 2344489401      84   138
   494  43003.187    0.224 PC->DEV ACK        2344489401 4259321277       0    54
   495  43152.762  149.575 DEV->PC ACK        4259321277 2344489401    1460  1514
   496  43152.851    0.089 DEV->PC ACK        4259322737 2344489401    1460  1514
   497  43152.867    0.016 PC->DEV ACK        2344489401 4259324197       0    54
   498  43152.919    0.052 DEV->PC ACK|PSH    4259324197 2344489401    1220  1274
   499  43198.881   45.962 PC->DEV ACK        2344489401 4259325417       0    54
   500  43302.721  103.840 DEV->PC ACK        4259325417 2344489401    1460  1514
   501  43302.826    0.105 DEV->PC ACK        4259326877 2344489401    1460  1514
   502  43302.834    0.008 PC->DEV ACK        2344489401 4259328337       0    54
   503  43302.891    0.057 DEV->PC ACK|PSH    4259328337 2344489401    1220  1274
   504  43353.502   50.611 PC->DEV ACK        2344489401 4259329557       0    54
   505  43452.735   99.233 DEV->PC ACK        4259329557 2344489401    1460  1514
   506  43452.844    0.109 DEV->PC ACK        4259331017 2344489401    1460  1514
   507  43452.861    0.017 PC->DEV ACK        2344489401 4259332477       0    54
   508  43452.906    0.045 DEV->PC ACK|PSH    4259332477 2344489401    1220  1274
   509  43507.501   54.595 PC->DEV ACK        2344489401 4259333697       0    54
   510  43602.761   95.260 DEV->PC ACK        4259333697 2344489401    1460  1514
   511  43602.867    0.106 DEV->PC ACK        4259335157 2344489401    1460  1514
   512  43602.882    0.015 PC->DEV ACK        2344489401 4259336617       0    54
   513  43602.928    0.046 DEV->PC ACK|PSH    4259336617 2344489401    1220  1274
   514  43645.638   42.710 PC->DEV ACK        2344489401 4259337837       0    54
   515  43687.830   42.192 DEV->PC ACK|PSH    4259337837 2344489401      84   138
   516  43740.050   52.220 PC->DEV ACK        2344489401 4259337921       0    54
   517  43752.728   12.678 DEV->PC ACK        4259337921 2344489401    1460  1514
   518  43752.826    0.098 DEV->PC ACK        4259339381 2344489401    1460  1514
   519  43752.832    0.006 PC->DEV ACK        2344489401 4259340841       0    54
   520  43752.898    0.066 DEV->PC ACK|PSH    4259340841 2344489401    1220  1274
   521  43801.506   48.608 PC->DEV ACK        2344489401 4259342061       0    54
   522  43902.738  101.232 DEV->PC ACK        4259342061 2344489401    1460  1514
   523  43902.824    0.086 DEV->PC ACK        4259343521 2344489401    1460  1514
   524  43902.833    0.009 PC->DEV ACK        2344489401 4259344981       0    54
   525  43902.883    0.050 DEV->PC ACK|PSH    4259344981 2344489401    1220  1274
   526  43956.621   53.738 PC->DEV ACK        2344489401 4259346201       0    54
   527  44002.580   45.959 DEV->PC ACK|PSH    4259346201 2344489401      84   138
   528  44048.959   46.379 PC->DEV ACK        2344489401 4259346285       0    54
   529  44052.705    3.746 DEV->PC ACK        4259346285 2344489401    1460  1514
   530  44052.811    0.106 DEV->PC ACK        4259347745 2344489401    1460  1514
   531  44052.826    0.015 PC->DEV ACK        2344489401 4259349205       0    54
   532  44052.872    0.046 DEV->PC ACK|PSH    4259349205 2344489401    1220  1274
   533  44095.581   42.709 PC->DEV ACK        2344489401 4259350425       0    54
   534  44202.726  107.145 DEV->PC ACK        4259350425 2344489401    1460  1514
   535  44202.833    0.107 DEV->PC ACK        4259351885 2344489401    1460  1514
   536  44202.836    0.003 PC->DEV ACK        2344489401 4259353345       0    54
   537  44202.897    0.061 DEV->PC ACK|PSH    4259353345 2344489401    1220  1274
   538  44250.471   47.574 PC->DEV ACK        2344489401 4259354565       0    54
   539  44352.723  102.252 DEV->PC ACK        4259354565 2344489401    1460  1514
   540  44352.830    0.107 DEV->PC ACK        4259356025 2344489401    1460  1514
   541  44352.845    0.015 PC->DEV ACK        2344489401 4259357485       0    54
   542  44352.890    0.045 DEV->PC ACK|PSH    4259357485 2344489401    1220  1274
   543  44403.857   50.967 PC->DEV ACK        2344489401 4259358705       0    54
   544  44502.726   98.869 DEV->PC ACK        4259358705 2344489401    1460  1514
   545  44502.839    0.113 DEV->PC ACK        4259360165 2344489401    1460  1514
   546  44502.849    0.010 PC->DEV ACK        2344489401 4259361625       0    54
   547  44502.902    0.053 DEV->PC ACK|PSH    4259361625 2344489401    1220  1274
   548  44542.557   39.655 PC->DEV ACK        2344489401 4259362845       0    54
   549  44652.741  110.184 DEV->PC ACK        4259362845 2344489401    1460  1514
   550  44652.844    0.103 DEV->PC ACK        4259364305 2344489401    1460  1514
   551  44652.859    0.015 PC->DEV ACK        2344489401 4259365765       0    54
   552  44652.906    0.047 DEV->PC ACK|PSH    4259365765 2344489401    1220  1274
   553  44687.037   34.131 DEV->PC ACK|PSH    4259366985 2344489401      84   138
   554  44687.818    0.781 PC->DEV ACK        2344489401 4259367069       0    54
   555  44802.712  114.894 DEV->PC ACK        4259367069 2344489401    1460  1514
   556  44802.817    0.105 DEV->PC ACK        4259368529 2344489401    1460  1514
   557  44802.833    0.016 PC->DEV ACK        2344489401 4259369989       0    54
   558  44802.880    0.047 DEV->PC ACK|PSH    4259369989 2344489401    1220  1274
   559  44851.235   48.355 PC->DEV ACK        2344489401 4259371209       0    54
   560  44952.717  101.482 DEV->PC ACK        4259371209 2344489401    1460  1514
   561  44952.822    0.105 DEV->PC ACK        4259372669 2344489401    1460  1514
   562  44952.842    0.020 PC->DEV ACK        2344489401 4259374129       0    54
   563  44952.886    0.044 DEV->PC ACK|PSH    4259374129 2344489401    1220  1274
   564  45002.561   49.675 DEV->PC ACK|PSH    4259375349 2344489401      84   138
   565  45002.808    0.247 PC->DEV ACK        2344489401 4259375433       0    54
   566  45102.716   99.908 DEV->PC ACK        4259375433 2344489401    1460  1514
   567  45102.823    0.107 DEV->PC ACK        4259376893 2344489401    1460  1514
   568  45102.834    0.011 PC->DEV ACK        2344489401 4259378353       0    54
   569  45102.885    0.051 DEV->PC ACK|PSH    4259378353 2344489401    1220  1274
   570  45144.342   41.457 PC->DEV ACK        2344489401 4259379573       0    54
   571  45252.707  108.365 DEV->PC ACK        4259379573 2344489401    1460  1514
   572  45252.810    0.103 DEV->PC ACK        4259381033 2344489401    1460  1514
   573  45252.826    0.016 PC->DEV ACK        2344489401 4259382493       0    54
   574  45252.871    0.045 DEV->PC ACK|PSH    4259382493 2344489401    1220  1274
   575  45297.812   44.941 PC->DEV ACK        2344489401 4259383713       0    54
   576  45402.715  104.903 DEV->PC ACK        4259383713 2344489401    1460  1514
   577  45402.834    0.119 DEV->PC ACK        4259385173 2344489401    1460  1514
   578  45402.848    0.014 PC->DEV ACK        2344489401 4259386633       0    54
   579  45402.902    0.054 DEV->PC ACK|PSH    4259386633 2344489401    1220  1274
   580  45453.128   50.226 PC->DEV ACK        2344489401 4259387853       0    54
   581  45552.668   99.540 DEV->PC ACK        4259387853 2344489401    1460  1514
   582  45552.793    0.125 DEV->PC ACK        4259389313 2344489401    1460  1514
   583  45552.809    0.016 PC->DEV ACK        2344489401 4259390773       0    54
   584  45552.872    0.063 DEV->PC ACK|PSH    4259390773 2344489401    1220  1274
   585  45593.609   40.737 PC->DEV ACK        2344489401 4259391993       0    54
   586  45687.309   93.700 DEV->PC ACK|PSH    4259391993 2344489401      84   138
   587  45702.673   15.364 DEV->PC ACK        4259392077 2344489401    1460  1514
   588  45702.689    0.016 PC->DEV ACK        2344489401 4259393537       0    54
   589  45702.769    0.080 DEV->PC ACK        4259393537 2344489401    1460  1514
   590  45702.876    0.107 DEV->PC ACK|PSH    4259394997 2344489401    1220  1274
   591  45703.014    0.138 PC->DEV ACK        2344489401 4259396217       0    54
   592  45852.678  149.664 DEV->PC ACK        4259396217 2344489401    1460  1514
   593  45852.771    0.093 DEV->PC ACK        4259397677 2344489401    1460  1514
   594  45852.784    0.013 PC->DEV ACK        2344489401 4259399137       0    54
   595  45852.947    0.163 DEV->PC ACK|PSH    4259399137 2344489401    1220  1274
   596  45901.763   48.816 PC->DEV ACK        2344489401 4259400357       0    54
   597  46002.755  100.992 DEV->PC ACK        4259400357 2344489401    1460  1514
   598  46002.862    0.107 DEV->PC ACK        4259401817 2344489401    1460  1514
   599  46002.878    0.016 PC->DEV ACK        2344489401 4259403277       0    54
   600  46002.925    0.047 DEV->PC ACK|PSH    4259403277 2344489401    1220  1274
   601  46002.926    0.001 DEV->PC ACK|PSH    4259404497 2344489401      84   138
   602  46003.135    0.209 PC->DEV ACK        2344489401 4259404581       0    54
   603  46152.683  149.548 DEV->PC ACK        4259404581 2344489401    1460  1514
   604  46152.790    0.107 DEV->PC ACK        4259406041 2344489401    1460  1514
   605  46152.806    0.016 PC->DEV ACK        2344489401 4259407501       0    54
   606  46152.869    0.063 DEV->PC ACK|PSH    4259407501 2344489401    1220  1274
   607  46194.526   41.657 PC->DEV ACK        2344489401 4259408721       0    54
   608  46302.613  108.087 DEV->PC ACK        4259408721 2344489401    1460  1514
   609  46302.737    0.124 DEV->PC ACK        4259410181 2344489401    1460  1514
   610  46302.753    0.016 PC->DEV ACK        2344489401 4259411641       0    54
   611  46302.961    0.208 DEV->PC ACK|PSH    4259411641 2344489401    1220  1274
   612  46350.808   47.847 PC->DEV ACK        2344489401 4259412861       0    54
   613  46452.667  101.859 DEV->PC ACK        4259412861 2344489401    1460  1514
   614  46452.771    0.104 DEV->PC ACK        4259414321 2344489401    1460  1514
   615  46452.775    0.004 PC->DEV ACK        2344489401 4259415781       0    54
   616  46452.840    0.065 DEV->PC ACK|PSH    4259415781 2344489401    1220  1274
   617  46504.038   51.198 PC->DEV ACK        2344489401 4259417001       0    54
   618  46602.682   98.644 DEV->PC ACK        4259417001 2344489401    1460  1514
   619  46602.780    0.098 DEV->PC ACK        4259418461 2344489401    1460  1514
   620  46602.786    0.006 PC->DEV ACK        2344489401 4259419921       0    54
   621  46602.852    0.066 DEV->PC ACK|PSH    4259419921 2344489401    1220  1274
   622  46643.224   40.372 PC->DEV ACK        2344489401 4259421141       0    54
   623  46688.311   45.087 DEV->PC ACK|PSH    4259421141 2344489401      84   138
   624  46735.999   47.688 PC->DEV ACK        2344489401 4259421225       0    54
   625  46752.662   16.663 DEV->PC ACK        4259421225 2344489401    1460  1514
   626  46752.757    0.095 DEV->PC ACK        4259422685 2344489401    1460  1514
   627  46752.763    0.006 PC->DEV ACK        2344489401 4259424145       0    54
   628  46752.821    0.058 DEV->PC ACK|PSH    4259424145 2344489401    1220  1274
   629  46797.389   44.568 PC->DEV ACK        2344489401 4259425365       0    54
   630  46902.674  105.285 DEV->PC ACK        4259425365 2344489401    1460  1514
   631  46902.776    0.102 DEV->PC ACK        4259426825 2344489401    1460  1514
   632  46902.786    0.010 PC->DEV ACK        2344489401 4259428285       0    54
   633  46902.851    0.065 DEV->PC ACK|PSH    4259428285 2344489401    1220  1274
   634  46951.754   48.903 PC->DEV ACK        2344489401 4259429505       0    54
   635  47002.580   50.826 DEV->PC ACK|PSH    4259429505 2344489401      84   138
   636  47043.854   41.274 PC->DEV ACK        2344489401 4259429589       0    54
   637  47052.670    8.816 DEV->PC ACK        4259429589 2344489401    1460  1514
   638  47052.778    0.108 DEV->PC ACK        4259431049 2344489401    1460  1514
   639  47052.791    0.013 PC->DEV ACK        2344489401 4259432509       0    54
   640  47052.846    0.055 DEV->PC ACK|PSH    4259432509 2344489401    1220  1274
   641  47106.835   53.989 PC->DEV ACK        2344489401 4259433729       0    54
   642  47202.684   95.849 DEV->PC ACK        4259433729 2344489401    1460  1514
   643  47202.790    0.106 DEV->PC ACK        4259435189 2344489401    1460  1514
   644  47202.806    0.016 PC->DEV ACK        2344489401 4259436649       0    54
   645  47202.852    0.046 DEV->PC ACK|PSH    4259436649 2344489401    1220  1274
   646  47246.900   44.048 PC->DEV ACK        2344489401 4259437869       0    54
   647  47352.656  105.756 DEV->PC ACK        4259437869 2344489401    1460  1514
   648  47352.783    0.127 DEV->PC ACK        4259439329 2344489401    1460  1514
   649  47352.790    0.007 PC->DEV ACK        2344489401 4259440789       0    54
   650  47352.841    0.051 DEV->PC ACK|PSH    4259440789 2344489401    1220  1274
   651  47400.723   47.882 PC->DEV ACK        2344489401 4259442009       0    54
   652  47502.672  101.949 DEV->PC ACK        4259442009 2344489401    1460  1514
   653  47502.777    0.105 DEV->PC ACK        4259443469 2344489401    1460  1514
   654  47502.790    0.013 PC->DEV ACK        2344489401 4259444929       0    54
   655  47502.851    0.061 DEV->PC ACK|PSH    4259444929 2344489401    1220  1274
   656  47553.480   50.629 PC->DEV ACK        2344489401 4259446149       0    54
   657  47652.677   99.197 DEV->PC ACK        4259446149 2344489401    1460  1514
   658  47652.782    0.105 DEV->PC ACK        4259447609 2344489401    1460  1514
   659  47652.798    0.016 PC->DEV ACK        2344489401 4259449069       0    54
   660  47652.844    0.046 DEV->PC ACK|PSH    4259449069 2344489401    1220  1274
   661  47688.339   35.495 DEV->PC ACK|PSH    4259450289 2344489401      84   138
   662  47689.499    1.160 PC->DEV ACK        2344489401 4259450373       0    54
   663  47802.615  113.116 DEV->PC ACK        4259450373 2344489401    1460  1514
   664  47802.707    0.092 DEV->PC ACK        4259451833 2344489401    1460  1514
   665  47802.723    0.016 PC->DEV ACK        2344489401 4259453293       0    54
   666  47802.841    0.118 DEV->PC ACK|PSH    4259453293 2344489401    1220  1274
   667  47847.340   44.499 PC->DEV ACK        2344489401 4259454513       0    54
   668  47952.648  105.308 DEV->PC ACK        4259454513 2344489401    1460  1514
   669  47952.741    0.093 DEV->PC ACK        4259455973 2344489401    1460  1514
   670  47952.745    0.004 PC->DEV ACK        2344489401 4259457433       0    54
   671  47952.848    0.103 DEV->PC ACK|PSH    4259457433 2344489401    1220  1274
   672  48001.134   48.286 PC->DEV ACK        2344489401 4259458653       0    54
   673  48002.575    1.441 DEV->PC ACK|PSH    4259458653 2344489401      84   138
   674  48047.664   45.089 PC->DEV ACK        2344489401 4259458737       0    54
   675  48102.752   55.088 DEV->PC ACK        4259458737 2344489401    1460  1514
   676  48102.928    0.176 DEV->PC ACK        4259460197 2344489401    1460  1514
   677  48102.929    0.001 DEV->PC ACK|PSH    4259461657 2344489401    1220  1274
   678  48103.179    0.250 PC->DEV ACK        2344489401 4259462877       0    54
   679  48252.669  149.490 DEV->PC ACK        4259462877 2344489401    1460  1514
   680  48252.778    0.109 DEV->PC ACK        4259464337 2344489401    1460  1514
   681  48252.793    0.015 PC->DEV ACK        2344489401 4259465797       0    54
   682  48252.839    0.046 DEV->PC ACK|PSH    4259465797 2344489401    1220  1274
   683  48295.925   43.086 PC->DEV ACK        2344489401 4259467017       0    54
   684  48402.668  106.743 DEV->PC ACK        4259467017 2344489401    1460  1514
   685  48402.778    0.110 DEV->PC ACK        4259468477 2344489401    1460  1514
   686  48402.793    0.015 PC->DEV ACK        2344489401 4259469937       0    54
   687  48402.848    0.055 DEV->PC ACK|PSH    4259469937 2344489401    1220  1274
   688  48451.008   48.160 PC->DEV ACK        2344489401 4259471157       0    54
   689  48552.652  101.644 DEV->PC ACK        4259471157 2344489401    1460  1514
   690  48552.851    0.199 DEV->PC ACK        4259472617 2344489401    1460  1514
   691  48552.852    0.001 DEV->PC ACK|PSH    4259474077 2344489401    1220  1274
   692  48553.083    0.231 PC->DEV ACK        2344489401 4259475297       0    54
   693  48688.556  135.473 DEV->PC ACK|PSH    4259475297 2344489401      84   138
   694  48702.635   14.079 DEV->PC ACK        4259475381 2344489401    1460  1514
   695  48702.671    0.036 PC->DEV ACK        2344489401 4259476841       0    54
   696  48702.743    0.072 DEV->PC ACK        4259476841 2344489401    1460  1514
   697  48702.805    0.062 DEV->PC ACK|PSH    4259478301 2344489401    1220  1274
   698  48703.018    0.213 PC->DEV ACK        2344489401 4259479521       0    54
   699  48852.596  149.578 DEV->PC ACK        4259479521 2344489401    1460  1514
   700  48852.699    0.103 DEV->PC ACK        4259480981 2344489401    1460  1514
   701  48852.713    0.014 PC->DEV ACK        2344489401 4259482441       0    54
   702  48852.828    0.115 DEV->PC ACK|PSH    4259482441 2344489401    1220  1274
   703  48899.061   46.233 PC->DEV ACK        2344489401 4259483661       0    54
   704  49002.692  103.631 DEV->PC ACK        4259483661 2344489401    1460  1514
   705  49002.796    0.104 DEV->PC ACK        4259485121 2344489401    1460  1514
   706  49002.812    0.016 PC->DEV ACK        2344489401 4259486581       0    54
   707  49002.858    0.046 DEV->PC ACK|PSH    4259486581 2344489401    1220  1274
   708  49002.859    0.001 DEV->PC ACK|PSH    4259487801 2344489401      84   138
   709  49003.069    0.210 PC->DEV ACK        2344489401 4259487885       0    54
   710  49152.629  149.560 DEV->PC ACK        4259487885 2344489401    1460  1514
   711  49152.738    0.109 DEV->PC ACK        4259489345 2344489401    1460  1514
   712  49152.751    0.013 PC->DEV ACK        2344489401 4259490805       0    54
   713  49152.801    0.050 DEV->PC ACK|PSH    4259490805 2344489401    1220  1274
   714  49207.096   54.295 PC->DEV ACK        2344489401 4259492025       0    54
   715  49302.668   95.572 DEV->PC ACK        4259492025 2344489401    1460  1514
   716  49302.772    0.104 DEV->PC ACK        4259493485 2344489401    1460  1514
   717  49302.788    0.016 PC->DEV ACK        2344489401 4259494945       0    54
   718  49302.833    0.045 DEV->PC ACK|PSH    4259494945 2344489401    1220  1274
   719  49346.792   43.959 PC->DEV ACK        2344489401 4259496165       0    54
   720  49452.645  105.853 DEV->PC ACK        4259496165 2344489401    1460  1514
   721  49452.750    0.105 DEV->PC ACK        4259497625 2344489401    1460  1514
   722  49452.765    0.015 PC->DEV ACK        2344489401 4259499085       0    54
   723  49452.810    0.045 DEV->PC ACK|PSH    4259499085 2344489401    1220  1274
   724  49501.774   48.964 PC->DEV ACK        2344489401 4259500305       0    54
   725  49602.665  100.891 DEV->PC ACK        4259500305 2344489401    1460  1514
   726  49602.762    0.097 DEV->PC ACK        4259501765 2344489401    1460  1514
   727  49602.769    0.007 PC->DEV ACK        2344489401 4259503225       0    54
   728  49602.832    0.063 DEV->PC ACK|PSH    4259503225 2344489401    1220  1274
   729  49656.778   53.946 PC->DEV ACK        2344489401 4259504445       0    54
