# MIC-185 192.168.9.155:4000; packets=794
# idx  relative    delta direction flags      seq        ack        payload wire
    84    185.545    0.265 DEV->PC ACK        4237141309 1893635733       0    64
    85    186.882    1.337 DEV->PC ACK|PSH    4237141309 1893635733     124   178
    86    186.979    0.097 PC->DEV ACK|PSH    1893635733 4237141433      48   102
    87    187.219    0.240 DEV->PC ACK        4237141433 1893635781       0    64
    88    188.414    1.195 DEV->PC ACK|PSH    4237141433 1893635781     124   178
    89    188.541    0.127 PC->DEV ACK|PSH    1893635781 4237141557      48   102
    90    188.724    0.183 DEV->PC ACK        4237141557 1893635829       0    64
    91    190.160    1.436 DEV->PC ACK|PSH    4237141557 1893635829     124   178
    92    190.294    0.134 PC->DEV ACK|PSH    1893635829 4237141681      48   102
    93    190.442    0.148 DEV->PC ACK        4237141681 1893635877       0    64
    94    191.787    1.345 DEV->PC ACK|PSH    4237141681 1893635877     124   178
    95    193.945    2.158 PC->DEV ACK|PSH    1893635877 4237141805      48   102
    96    194.209    0.264 DEV->PC ACK        4237141805 1893635925       0    64
    97    195.416    1.207 DEV->PC ACK|PSH    4237141805 1893635925     124   178
    98    195.549    0.133 PC->DEV ACK|PSH    1893635925 4237141929      48   102
    99    195.711    0.162 DEV->PC ACK        4237141929 1893635973       0    64
   100    197.068    1.357 DEV->PC ACK|PSH    4237141929 1893635973     124   178
   101    197.155    0.087 PC->DEV ACK|PSH    1893635973 4237142053      48   102
   102    197.313    0.158 DEV->PC ACK        4237142053 1893636021       0    64
   103    198.813    1.500 DEV->PC ACK|PSH    4237142053 1893636021     124   178
   104    198.928    0.115 PC->DEV ACK|PSH    1893636021 4237142177      48   102
   105    199.122    0.194 DEV->PC ACK        4237142177 1893636069       0    64
   106    200.499    1.377 DEV->PC ACK|PSH    4237142177 1893636069     124   178
   107    200.577    0.078 PC->DEV ACK|PSH    1893636069 4237142301      48   102
   108    200.768    0.191 DEV->PC ACK        4237142301 1893636117       0    64
   109    202.043    1.275 DEV->PC ACK|PSH    4237142301 1893636117     124   178
   110    202.170    0.127 PC->DEV ACK|PSH    1893636117 4237142425      48   102
   111    202.420    0.250 DEV->PC ACK        4237142425 1893636165       0    64
   112    203.641    1.221 DEV->PC ACK|PSH    4237142425 1893636165     124   178
   113    204.206    0.565 PC->DEV ACK|PSH    1893636165 4237142549      48   102
   114    204.362    0.156 DEV->PC ACK        4237142549 1893636213       0    64
   115    205.754    1.392 DEV->PC ACK|PSH    4237142549 1893636213     124   178
   116    205.897    0.143 PC->DEV ACK|PSH    1893636213 4237142673      48   102
   117    206.070    0.173 DEV->PC ACK        4237142673 1893636261       0    64
   118    207.449    1.379 DEV->PC ACK|PSH    4237142673 1893636261     124   178
   119    207.567    0.118 PC->DEV ACK|PSH    1893636261 4237142797      48   102
   120    207.766    0.199 DEV->PC ACK        4237142797 1893636309       0    64
   121    209.033    1.267 DEV->PC ACK|PSH    4237142797 1893636309     124   178
   122    209.137    0.104 PC->DEV ACK|PSH    1893636309 4237142921      48   102
   123    209.407    0.270 DEV->PC ACK        4237142921 1893636357       0    64
   124    210.625    1.218 DEV->PC ACK|PSH    4237142921 1893636357     124   178
   125    210.924    0.299 PC->DEV ACK|PSH    1893636357 4237143045      48   102
   126    211.231    0.307 DEV->PC ACK        4237143045 1893636405       0    64
   127    212.404    1.173 DEV->PC ACK|PSH    4237143045 1893636405     124   178
   128    212.680    0.276 PC->DEV ACK|PSH    1893636405 4237143169      48   102
   129    212.969    0.289 DEV->PC ACK        4237143169 1893636453       0    64
   130    214.152    1.183 DEV->PC ACK|PSH    4237143169 1893636453     124   178
   131    214.361    0.209 PC->DEV ACK|PSH    1893636453 4237143293      48   102
   132    214.590    0.229 DEV->PC ACK        4237143293 1893636501       0    64
   133    215.735    1.145 DEV->PC ACK|PSH    4237143293 1893636501     124   178
   134    216.180    0.445 PC->DEV ACK|PSH    1893636501 4237143417      48   102
   135    216.346    0.166 DEV->PC ACK        4237143417 1893636549       0    64
   136    217.518    1.172 DEV->PC ACK|PSH    4237143417 1893636549     124   178
   137    217.844    0.326 PC->DEV ACK|PSH    1893636549 4237143541      48   102
   138    218.011    0.167 DEV->PC ACK        4237143541 1893636597       0    64
   139    219.228    1.217 DEV->PC ACK|PSH    4237143541 1893636597     124   178
   140    219.553    0.325 PC->DEV ACK|PSH    1893636597 4237143665      48   102
   141    219.800    0.247 DEV->PC ACK        4237143665 1893636645       0    64
   142    220.977    1.177 DEV->PC ACK|PSH    4237143665 1893636645     124   178
   143    221.232    0.255 PC->DEV ACK|PSH    1893636645 4237143789      48   102
   144    221.556    0.324 DEV->PC ACK        4237143789 1893636693       0    64
   145    222.672    1.116 DEV->PC ACK|PSH    4237143789 1893636693     124   178
   146    222.940    0.268 PC->DEV ACK|PSH    1893636693 4237143913      48   102
   147    223.242    0.302 DEV->PC ACK        4237143913 1893636741       0    64
   148    224.428    1.186 DEV->PC ACK|PSH    4237143913 1893636741     124   178
   149    224.691    0.263 PC->DEV ACK|PSH    1893636741 4237144037      48   102
   150    224.975    0.284 DEV->PC ACK        4237144037 1893636789       0    64
   151    226.081    1.106 DEV->PC ACK|PSH    4237144037 1893636789     124   178
   152    226.571    0.490 PC->DEV ACK|PSH    1893636789 4237144161      48   102
   153    226.749    0.178 DEV->PC ACK        4237144161 1893636837       0    64
   154    228.058    1.309 DEV->PC ACK|PSH    4237144161 1893636837     124   178
   155    228.303    0.245 PC->DEV ACK|PSH    1893636837 4237144285      48   102
   156    228.495    0.192 DEV->PC ACK        4237144285 1893636885       0    64
   157    229.675    1.180 DEV->PC ACK|PSH    4237144285 1893636885     124   178
