connection,relative_ms,direction,event,ioctl,packet_size,id_to,id_from,sha256,detail
1,0.0,TCP,connect,,0,,,,
1,182.205,PC->DEV,service,call_command,41,0C904000,096A7050,bcb5fd7f44295215,to=0C904000;from=096A7050
1,183.528,DEV->PC,mebius_service,,124,00000000,0C904000,bbdc7d172dc10f93,to=00000000;from=0C904000
1,183.66,PC->DEV,service,call_command,41,0C904000,096A7050,4d17195b9fc07d7a,to=0C904000;from=096A7050
1,185.2,DEV->PC,mebius_service,,124,00000000,0C904000,3ee7490040c43fb6,to=00000000;from=0C904000
1,185.28,PC->DEV,service,call_command,41,0C904000,096A7050,a368547827778bd6,to=0C904000;from=096A7050
1,186.882,DEV->PC,mebius_service,,124,00000000,0C904000,acd0e9c425f4745b,to=00000000;from=0C904000
1,186.979,PC->DEV,service,call_command,41,0C904000,096A7050,80980dad0ba170f6,to=0C904000;from=096A7050
1,188.414,DEV->PC,mebius_service,,124,00000000,0C904000,0f5dc833fe8ae474,to=00000000;from=0C904000
1,188.541,PC->DEV,service,call_command,41,0C904000,096A7050,e323e576b2c7c6c8,to=0C904000;from=096A7050
1,190.16,DEV->PC,mebius_service,,124,00000000,0C904000,2f2b9ddf85a1ba6a,to=00000000;from=0C904000
1,190.294,PC->DEV,service,call_command,41,0C904000,096A7050,abba578f8e2c179c,to=0C904000;from=096A7050
1,191.787,DEV->PC,mebius_service,,124,00000000,0C904000,e4563766f8d24e7a,to=00000000;from=0C904000
1,193.945,PC->DEV,service,call_command,41,0C904000,096A7050,c1f2e421579e58b2,to=0C904000;from=096A7050
1,195.416,DEV->PC,mebius_service,,124,00000000,0C904000,b0dc0a664029d4d0,to=00000000;from=0C904000
1,195.549,PC->DEV,service,call_command,41,0C904000,096A7050,c165c6763198963e,to=0C904000;from=096A7050
1,197.068,DEV->PC,mebius_service,,124,00000000,0C904000,80c5f42b8b5096a5,to=00000000;from=0C904000
1,197.155,PC->DEV,service,call_command,41,0C904000,096A7050,c59ca7f9d0751871,to=0C904000;from=096A7050
1,198.813,DEV->PC,mebius_service,,124,00000000,0C904000,9241d3fb5ea70365,to=00000000;from=0C904000
1,198.928,PC->DEV,service,call_command,41,0C904000,096A7050,a08cf5359c149151,to=0C904000;from=096A7050
1,200.499,DEV->PC,mebius_service,,124,00000000,0C904000,c6d9ae051d53e208,to=00000000;from=0C904000
1,200.577,PC->DEV,service,call_command,41,0C904000,096A7050,bd3b5a8e5d29a72a,to=0C904000;from=096A7050
1,202.043,DEV->PC,mebius_service,,124,00000000,0C904000,56903d6a6d034a98,to=00000000;from=0C904000
1,202.17,PC->DEV,service,call_command,41,0C904000,096A7050,1afa072b3aa64997,to=0C904000;from=096A7050
1,203.641,DEV->PC,mebius_service,,124,00000000,0C904000,3e17a6350a9656cb,to=00000000;from=0C904000
1,204.206,PC->DEV,service,call_command,41,0C904000,096A7050,b3cbf5a2259af581,to=0C904000;from=096A7050
1,205.754,DEV->PC,mebius_service,,124,00000000,0C904000,db187463809fe9a2,to=00000000;from=0C904000
1,205.897,PC->DEV,service,call_command,41,0C904000,096A7050,44e612de1b54bcdf,to=0C904000;from=096A7050
1,207.449,DEV->PC,mebius_service,,124,00000000,0C904000,81bb97bba93ddf53,to=00000000;from=0C904000
1,207.567,PC->DEV,service,call_command,41,0C904000,096A7050,3b9b24f4afec201f,to=0C904000;from=096A7050
1,209.033,DEV->PC,mebius_service,,124,00000000,0C904000,cec263afb0555a76,to=00000000;from=0C904000
1,209.137,PC->DEV,service,call_command,41,0C904000,096A7050,8a7a397d51ccd25f,to=0C904000;from=096A7050
1,210.625,DEV->PC,mebius_service,,124,00000000,0C904000,e56b0db21d6b6362,to=00000000;from=0C904000
1,210.924,PC->DEV,service,call_command,41,0C904000,096A7050,13c7ffe3c51f75d4,to=0C904000;from=096A7050
1,212.404,DEV->PC,mebius_service,,124,00000000,0C904000,a1f57b34a9cbd9c7,to=00000000;from=0C904000
1,212.68,PC->DEV,service,call_command,41,0C904000,096A7050,70bb9fd46aea4f78,to=0C904000;from=096A7050
1,214.152,DEV->PC,mebius_service,,124,00000000,0C904000,d2b2e6ebb60946d4,to=00000000;from=0C904000
1,214.361,PC->DEV,service,call_command,41,0C904000,096A7050,2955b9310de51484,to=0C904000;from=096A7050
1,215.735,DEV->PC,mebius_service,,124,00000000,0C904000,b3dd57cedf5bd863,to=00000000;from=0C904000
1,216.18,PC->DEV,service,call_command,41,0C904000,096A7050,4e662c4d6bf0b531,to=0C904000;from=096A7050
1,217.518,DEV->PC,mebius_service,,124,00000000,0C904000,c1567b6ac41d9055,to=00000000;from=0C904000
1,217.844,PC->DEV,service,call_command,41,0C904000,096A7050,249b39e971c016e1,to=0C904000;from=096A7050
1,219.228,DEV->PC,mebius_service,,124,00000000,0C904000,12da9004b70ce343,to=00000000;from=0C904000
1,219.553,PC->DEV,service,call_command,41,0C904000,096A7050,199a4d2a6abc07e8,to=0C904000;from=096A7050
1,220.977,DEV->PC,mebius_service,,124,00000000,0C904000,e1c7b8615d634d5d,to=00000000;from=0C904000
1,221.232,PC->DEV,service,call_command,41,0C904000,096A7050,1315ca4db4069502,to=0C904000;from=096A7050
1,222.672,DEV->PC,mebius_service,,124,00000000,0C904000,e97a1a746f1f14a2,to=00000000;from=0C904000
1,222.94,PC->DEV,service,call_command,41,0C904000,096A7050,b553f11fdf1a82e3,to=0C904000;from=096A7050
1,224.428,DEV->PC,mebius_service,,124,00000000,0C904000,ef076526b3d96b8e,to=00000000;from=0C904000
1,224.691,PC->DEV,service,call_command,41,0C904000,096A7050,fd5eae122e7d571d,to=0C904000;from=096A7050
