# MIC-185 192.168.9.155:4000; packets=472
# idx  relative    delta direction flags      seq        ack        payload wire
    84   7003.365    0.008 PC->DEV ACK        3419068218 3395973113       0    54
    85   7153.209  149.844 DEV->PC ACK        3395973113 3419068218    1460  1514
    86   7153.329    0.120 DEV->PC ACK        3395974573 3419068218    1460  1514
    87   7153.333    0.004 PC->DEV ACK        3419068218 3395976033       0    54
    88   7153.425    0.092 DEV->PC ACK|PSH    3395976033 3419068218    1220  1274
    89   7201.101   47.676 PC->DEV ACK        3419068218 3395977253       0    54
    90   7202.977    1.876 DEV->PC ACK|PSH    3395977253 3419068218      84   138
    91   7248.107   45.130 PC->DEV ACK        3419068218 3395977337       0    54
    92   7298.904   50.797 DEV->PC ACK|SYN    3389842432  765321928       0    64
    93   7303.176    4.272 DEV->PC ACK        3395977337 3419068218    1460  1514
    94   7303.236    0.060 DEV->PC ACK        3395978797 3419068218    1460  1514
    95   7303.240    0.004 PC->DEV ACK        3419068218 3395980257       0    54
    96   7303.366    0.126 DEV->PC ACK|PSH    3395980257 3419068218    1220  1274
    97   7356.706   53.340 PC->DEV ACK        3419068218 3395981477       0    54
    98   7453.247   96.541 DEV->PC ACK        3395981477 3419068218    1460  1514
    99   7453.773    0.526 DEV->PC ACK        3395982937 3419068218    1460  1514
   100   7453.775    0.002 DEV->PC ACK|PSH    3395984397 3419068218    1220  1274
   101   7453.817    0.042 PC->DEV ACK        3419068218 3395984397       0    54
   102   7497.606   43.789 PC->DEV ACK        3419068218 3395985617       0    54
   103   7603.290  105.684 DEV->PC ACK        3395985617 3419068218    1460  1514
   104   7603.431    0.141 DEV->PC ACK        3395987077 3419068218    1460  1514
   105   7603.433    0.002 DEV->PC ACK|PSH    3395988537 3419068218    1220  1274
   106   7603.477    0.044 PC->DEV ACK        3419068218 3395989757       0    54
   107   7753.158  149.681 DEV->PC ACK        3395989757 3419068218    1460  1514
   108   7753.234    0.076 DEV->PC ACK        3395991217 3419068218    1460  1514
   109   7753.240    0.006 PC->DEV ACK        3419068218 3395992677       0    54
