connection,relative_ms,direction,event,ioctl,packet_size,id_to,id_from,sha256,detail
1,10603.156,DEV->PC,mebius_service,,4140,00000000,3E904000,d4c18f3cdf7278c7,to=00000000;from=3E904000
1,10753.198,DEV->PC,mebius_service,,4140,00000000,3E904000,f51eed467ff6b1a6,to=00000000;from=3E904000
1,10903.138,DEV->PC,mebius_service,,4140,00000000,3E904000,b3ff7aae37fb0fab,to=00000000;from=3E904000
1,11001.529,DEV->PC,mebius_service,,84,00000000,3E904000,719fc937be6a5dd5,to=00000000;from=3E904000
1,11053.312,DEV->PC,mebius_service,,4140,00000000,3E904000,4c5af90c5142566c,to=00000000;from=3E904000
1,11203.281,DEV->PC,mebius_service,,4140,00000000,3E904000,aaeac96005b4aad3,to=00000000;from=3E904000
1,11203.439,DEV->PC,mebius_service,,84,00000000,3E904000,c1d9549ac28eceb8,to=00000000;from=3E904000
1,11353.111,DEV->PC,mebius_service,,4140,00000000,3E904000,e11f097646e61fcb,to=00000000;from=3E904000
1,11503.154,DEV->PC,mebius_service,,4140,00000000,3E904000,0fca00833ff76791,to=00000000;from=3E904000
1,11653.282,DEV->PC,mebius_service,,4140,00000000,3E904000,5499fbdd4f7b41b2,to=00000000;from=3E904000
1,11803.237,DEV->PC,mebius_service,,4140,00000000,3E904000,b57932f819aaccfd,to=00000000;from=3E904000
1,11953.079,DEV->PC,mebius_service,,4140,00000000,3E904000,d41e76a3977d11a9,to=00000000;from=3E904000
1,12001.565,DEV->PC,mebius_service,,84,00000000,3E904000,3da8719655c74c4a,to=00000000;from=3E904000
1,12103.111,DEV->PC,mebius_service,,4140,00000000,3E904000,cbc0e5e72c1957aa,to=00000000;from=3E904000
1,12203.019,DEV->PC,mebius_service,,84,00000000,3E904000,8e2868905fadaa6c,to=00000000;from=3E904000
1,12253.18,DEV->PC,mebius_service,,4140,00000000,3E904000,de260705574f24ec,to=00000000;from=3E904000
1,12403.112,DEV->PC,mebius_service,,4140,00000000,3E904000,8fb2f5a6835c7c3b,to=00000000;from=3E904000
1,12553.106,DEV->PC,mebius_service,,4140,00000000,3E904000,2ea1f17e57cbed8e,to=00000000;from=3E904000
1,12703.043,DEV->PC,mebius_service,,4140,00000000,3E904000,8b290c730d3e3098,to=00000000;from=3E904000
1,12853.088,DEV->PC,mebius_service,,4140,00000000,3E904000,7edef09f4154e76e,to=00000000;from=3E904000
1,13000.845,DEV->PC,mebius_service,,84,00000000,3E904000,cf3a4a3436ef0c73,to=00000000;from=3E904000
1,13003.103,DEV->PC,mebius_service,,4140,00000000,3E904000,52d035f385bbed54,to=00000000;from=3E904000
1,13153.089,DEV->PC,mebius_service,,4140,00000000,3E904000,5eb462e23b3efecf,to=00000000;from=3E904000
1,13202.975,DEV->PC,mebius_service,,84,00000000,3E904000,f9ebef424c15df5b,to=00000000;from=3E904000
1,13303.098,DEV->PC,mebius_service,,4140,00000000,3E904000,330267c8114f2efd,to=00000000;from=3E904000
1,13453.238,DEV->PC,mebius_service,,4140,00000000,3E904000,982d91ee2bfaf235,to=00000000;from=3E904000
1,13603.26,DEV->PC,mebius_service,,4140,00000000,3E904000,1ae5e038af2fef32,to=00000000;from=3E904000
1,13753.064,DEV->PC,mebius_service,,4140,00000000,3E904000,2a3b440f7bdf5b72,to=00000000;from=3E904000
1,13903.132,DEV->PC,mebius_service,,4140,00000000,3E904000,40cac05fbc513007,to=00000000;from=3E904000
1,14000.905,DEV->PC,mebius_service,,84,00000000,3E904000,c17a33bda4456e49,to=00000000;from=3E904000
1,14053.08,DEV->PC,mebius_service,,4140,00000000,3E904000,99bcdab9e62f5567,to=00000000;from=3E904000
1,14203.159,DEV->PC,mebius_service,,4140,00000000,3E904000,92961b4045f205b4,to=00000000;from=3E904000
1,14203.364,DEV->PC,mebius_service,,84,00000000,3E904000,600c2c87651d93b2,to=00000000;from=3E904000
1,14353.122,DEV->PC,mebius_service,,4140,00000000,3E904000,d8c60a80e613e767,to=00000000;from=3E904000
1,14503.07,DEV->PC,mebius_service,,4140,00000000,3E904000,222e408b70c46de4,to=00000000;from=3E904000
1,14653.113,DEV->PC,mebius_service,,4140,00000000,3E904000,cbeed0ffb34e4433,to=00000000;from=3E904000
1,14803.063,DEV->PC,mebius_service,,4140,00000000,3E904000,98e70dacdf7c74c8,to=00000000;from=3E904000
1,14953.092,DEV->PC,mebius_service,,4140,00000000,3E904000,628c5ec76cdbc9e5,to=00000000;from=3E904000
1,15001.023,DEV->PC,mebius_service,,84,00000000,3E904000,ba0936d0a308d6ac,to=00000000;from=3E904000
1,15103.032,DEV->PC,mebius_service,,4140,00000000,3E904000,a0673b5c2652f31b,to=00000000;from=3E904000
1,15203.056,DEV->PC,mebius_service,,84,00000000,3E904000,45c94a26e9742e34,to=00000000;from=3E904000
1,15253.041,DEV->PC,mebius_service,,4140,00000000,3E904000,cd2dee623b801e1b,to=00000000;from=3E904000
1,15403.045,DEV->PC,mebius_service,,4140,00000000,3E904000,e13a3873e1375640,to=00000000;from=3E904000
1,15553.088,DEV->PC,mebius_service,,4140,00000000,3E904000,d15857519f7a621d,to=00000000;from=3E904000
1,15703.07,DEV->PC,mebius_service,,4140,00000000,3E904000,44ebd113fd708360,to=00000000;from=3E904000
1,15853.036,DEV->PC,mebius_service,,4140,00000000,3E904000,3c048facc2c46f4c,to=00000000;from=3E904000
1,16003.124,DEV->PC,mebius_service,,4140,00000000,3E904000,2f6ac05d74aa84d2,to=00000000;from=3E904000
1,16003.285,DEV->PC,mebius_service,,84,00000000,3E904000,c10aabb8f8b09957,to=00000000;from=3E904000
1,16153.06,DEV->PC,mebius_service,,4140,00000000,3E904000,6472d4ec153790f4,to=00000000;from=3E904000
1,16203.052,DEV->PC,mebius_service,,84,00000000,3E904000,a0a0c6834ae820ad,to=00000000;from=3E904000
1,16303.081,DEV->PC,mebius_service,,4140,00000000,3E904000,e1459887b1280ad0,to=00000000;from=3E904000
1,16453.126,DEV->PC,mebius_service,,4140,00000000,3E904000,9e76296fcbbf947c,to=00000000;from=3E904000
1,16603.064,DEV->PC,mebius_service,,4140,00000000,3E904000,dd87053984b2c92d,to=00000000;from=3E904000
1,16752.985,DEV->PC,mebius_service,,4140,00000000,3E904000,cdb8faff345ed3d3,to=00000000;from=3E904000
1,16903.107,DEV->PC,mebius_service,,4140,00000000,3E904000,a8139d7471705e02,to=00000000;from=3E904000
1,17002.25,DEV->PC,mebius_service,,84,00000000,3E904000,bac2769d143b8e35,to=00000000;from=3E904000
1,17053.101,DEV->PC,mebius_service,,4140,00000000,3E904000,c8f01d3dfe24a7bf,to=00000000;from=3E904000
1,17203.115,DEV->PC,mebius_service,,4140,00000000,3E904000,6d464df21eec7ac0,to=00000000;from=3E904000
1,17203.331,DEV->PC,mebius_service,,84,00000000,3E904000,bda0db7f942c3a4e,to=00000000;from=3E904000
1,17353.065,DEV->PC,mebius_service,,4140,00000000,3E904000,3380484ce97185d2,to=00000000;from=3E904000
1,17503.055,DEV->PC,mebius_service,,4140,00000000,3E904000,22c3492eb86897e6,to=00000000;from=3E904000
1,17653.103,DEV->PC,mebius_service,,4140,00000000,3E904000,942f388894490c7e,to=00000000;from=3E904000
1,17803.111,DEV->PC,mebius_service,,4140,00000000,3E904000,4f810ab79edb108d,to=00000000;from=3E904000
1,17903.212,PC->DEV,stop,stop,28,0C904000,05EA92B0,38a5a7a11433f5e4,to=0C904000;from=05EA92B0
1,17905.171,DEV->PC,mebius_service,,32,00000000,0C904000,68026f02ed6191d7,to=00000000;from=0C904000
1,22899.037,DEV->PC,tcp_keepalive_probe,,0,,,,TCP probe: seq=SND.NXT-1
1,24971.355,TCP,disconnect,,0,,,,
1,24972.062,TCP,disconnect,,0,,,,
