connection,relative_ms,direction,event,ioctl,packet_size,id_to,id_from,sha256,detail
1,0.0,TCP,connect,,0,,,,
1,3.322,PC->DEV,alive_request,query_session,28,0C904000,09867C78,94bddb96b1d95cdd,to=0C904000;from=09867C78
1,33.836,DEV->PC,mebius_service,,40,00000000,0C904000,4c5304ae629217c7,to=00000000;from=0C904000
1,45.318,PC->DEV,service,ioctl_00010054,28,0C904000,09867C78,796cd877bd829ea0,to=0C904000;from=09867C78
1,47.57,DEV->PC,mebius_service,,52,00000000,0C904000,754f36e6c1c9e4ae,to=00000000;from=0C904000
1,95.038,PC->DEV,service,call_command,40,0C904000,09867C78,72ab04de9f7e3ccd,to=0C904000;from=09867C78
1,96.502,DEV->PC,mebius_service,,100,00000000,0C904000,2a9f779c060b78c1,to=00000000;from=0C904000
1,119.905,PC->DEV,alive_request,query_session,28,0C904000,09867C78,94bddb96b1d95cdd,to=0C904000;from=09867C78
1,121.34,DEV->PC,mebius_service,,40,00000000,0C904000,4c5304ae629217c7,to=00000000;from=0C904000
1,123.574,PC->DEV,alive_request,query_session,28,0C904000,09867C78,94bddb96b1d95cdd,to=0C904000;from=09867C78
1,125.015,DEV->PC,mebius_service,,40,00000000,0C904000,4c5304ae629217c7,to=00000000;from=0C904000
1,125.216,PC->DEV,service,call_command,41,0C904000,09867C78,3c419674d2f2e7b4,to=0C904000;from=09867C78
1,126.711,DEV->PC,mebius_service,,124,00000000,0C904000,6fd56f87803e2ab6,to=00000000;from=0C904000
1,126.785,PC->DEV,service,call_command,41,0C904000,09867C78,ad15f9130b210aa4,to=0C904000;from=09867C78
1,128.213,DEV->PC,mebius_service,,124,00000000,0C904000,f549ac0a79f4567b,to=00000000;from=0C904000
1,128.285,PC->DEV,service,call_command,41,0C904000,09867C78,cf058f5809f50d50,to=0C904000;from=09867C78
1,129.688,DEV->PC,mebius_service,,124,00000000,0C904000,99313372c1890154,to=00000000;from=0C904000
1,129.758,PC->DEV,service,call_command,41,0C904000,09867C78,978bd4b48e62d0d9,to=0C904000;from=09867C78
1,131.084,DEV->PC,mebius_service,,124,00000000,0C904000,7a80237fff136645,to=00000000;from=0C904000
1,131.161,PC->DEV,service,call_command,41,0C904000,09867C78,073c47d10a3a1f4e,to=0C904000;from=09867C78
1,132.546,DEV->PC,mebius_service,,124,00000000,0C904000,88868def9fd85294,to=00000000;from=0C904000
1,132.612,PC->DEV,service,call_command,41,0C904000,09867C78,b1723d59f030b8fa,to=0C904000;from=09867C78
1,133.924,DEV->PC,mebius_service,,124,00000000,0C904000,c22cc39287fd70ef,to=00000000;from=0C904000
1,133.996,PC->DEV,service,call_command,41,0C904000,09867C78,2b636fbba5b604d6,to=0C904000;from=09867C78
1,135.386,DEV->PC,mebius_service,,124,00000000,0C904000,6e28f43483fd2aa8,to=00000000;from=0C904000
1,135.458,PC->DEV,service,call_command,41,0C904000,09867C78,96cd35e6ae0c9d09,to=0C904000;from=09867C78
1,136.96,DEV->PC,mebius_service,,124,00000000,0C904000,5a534311fa1a7e08,to=00000000;from=0C904000
1,137.107,PC->DEV,service,call_command,41,0C904000,09867C78,76237520dca782c9,to=0C904000;from=09867C78
1,138.652,DEV->PC,mebius_service,,124,00000000,0C904000,42ba57631d06a452,to=00000000;from=0C904000
1,138.805,PC->DEV,service,call_command,41,0C904000,09867C78,609780be24e0bba9,to=0C904000;from=09867C78
1,140.123,DEV->PC,mebius_service,,124,00000000,0C904000,7269b0f7c427a50e,to=00000000;from=0C904000
1,140.294,PC->DEV,service,call_command,41,0C904000,09867C78,9ffd589a26f4d407,to=0C904000;from=09867C78
1,141.812,DEV->PC,mebius_service,,124,00000000,0C904000,ed9c23cb55b49933,to=00000000;from=0C904000
1,141.935,PC->DEV,service,call_command,41,0C904000,09867C78,5feefc36c4fecec8,to=0C904000;from=09867C78
1,143.332,DEV->PC,mebius_service,,124,00000000,0C904000,d3c472e974b75494,to=00000000;from=0C904000
1,144.529,PC->DEV,service,call_command,41,0C904000,09867C78,76ad7bd3a3585059,to=0C904000;from=09867C78
1,146.003,DEV->PC,mebius_service,,124,00000000,0C904000,15762939c808f1ec,to=00000000;from=0C904000
1,146.094,PC->DEV,service,call_command,41,0C904000,09867C78,d04b198d46ad3f3a,to=0C904000;from=09867C78
1,147.497,DEV->PC,mebius_service,,124,00000000,0C904000,bb30b4e9fbd051cd,to=00000000;from=0C904000
1,147.701,PC->DEV,service,call_command,41,0C904000,09867C78,0c8a54085fdf99fc,to=0C904000;from=09867C78
1,149.114,DEV->PC,mebius_service,,124,00000000,0C904000,aebca375ae043bbe,to=00000000;from=0C904000
1,149.305,PC->DEV,service,call_command,41,0C904000,09867C78,d69dac0bc659435f,to=0C904000;from=09867C78
1,150.662,DEV->PC,mebius_service,,124,00000000,0C904000,36736b06169d57cf,to=00000000;from=0C904000
1,150.744,PC->DEV,service,call_command,41,0C904000,09867C78,26121adcb344f5cf,to=0C904000;from=09867C78
1,152.081,DEV->PC,mebius_service,,124,00000000,0C904000,e6a41a9235ce4b35,to=00000000;from=0C904000
1,154.073,PC->DEV,service,call_command,41,0C904000,09867C78,774a212c00bc78f5,to=0C904000;from=09867C78
1,155.498,DEV->PC,mebius_service,,124,00000000,0C904000,b9ef16239bce3d78,to=00000000;from=0C904000
1,155.808,PC->DEV,service,call_command,41,0C904000,09867C78,80afc248847ffbbe,to=0C904000;from=09867C78
1,157.186,DEV->PC,mebius_service,,124,00000000,0C904000,b8e7d903fe3fd2fb,to=00000000;from=0C904000
1,157.414,PC->DEV,service,call_command,41,0C904000,09867C78,7e8f681a1b8264aa,to=0C904000;from=09867C78
1,158.803,DEV->PC,mebius_service,,124,00000000,0C904000,bbdc7d172dc10f93,to=00000000;from=0C904000
1,158.947,PC->DEV,service,call_command,41,0C904000,09867C78,3eaa35a225b48d3b,to=0C904000;from=09867C78
1,160.42,DEV->PC,mebius_service,,124,00000000,0C904000,3ee7490040c43fb6,to=00000000;from=0C904000
1,160.571,PC->DEV,service,call_command,41,0C904000,09867C78,eb795000124bbc20,to=0C904000;from=09867C78
1,162.031,DEV->PC,mebius_service,,124,00000000,0C904000,acd0e9c425f4745b,to=00000000;from=0C904000
1,162.202,PC->DEV,service,call_command,41,0C904000,09867C78,b5ea1b8b3c33bb6c,to=0C904000;from=09867C78
1,163.645,DEV->PC,mebius_service,,124,00000000,0C904000,0f5dc833fe8ae474,to=00000000;from=0C904000
1,163.881,PC->DEV,service,call_command,41,0C904000,09867C78,aaffd28647a7e065,to=0C904000;from=09867C78
1,165.384,DEV->PC,mebius_service,,124,00000000,0C904000,2f2b9ddf85a1ba6a,to=00000000;from=0C904000
1,165.608,PC->DEV,service,call_command,41,0C904000,09867C78,b8b47c411015534f,to=0C904000;from=09867C78
1,167.046,DEV->PC,mebius_service,,124,00000000,0C904000,e4563766f8d24e7a,to=00000000;from=0C904000
1,167.221,PC->DEV,service,call_command,41,0C904000,09867C78,a353123b67ce4f1c,to=0C904000;from=09867C78
1,168.675,DEV->PC,mebius_service,,124,00000000,0C904000,b0dc0a664029d4d0,to=00000000;from=0C904000
1,169.045,PC->DEV,service,call_command,41,0C904000,09867C78,4b1ef3605efcdaee,to=0C904000;from=09867C78
1,170.528,DEV->PC,mebius_service,,124,00000000,0C904000,80c5f42b8b5096a5,to=00000000;from=0C904000
1,170.641,PC->DEV,service,call_command,41,0C904000,09867C78,53d5331cc41c3d44,to=0C904000;from=09867C78
1,172.004,DEV->PC,mebius_service,,124,00000000,0C904000,9241d3fb5ea70365,to=00000000;from=0C904000
1,172.161,PC->DEV,service,call_command,41,0C904000,09867C78,a6dc29b7cf85a4c7,to=0C904000;from=09867C78
1,173.574,DEV->PC,mebius_service,,124,00000000,0C904000,c6d9ae051d53e208,to=00000000;from=0C904000
1,173.681,PC->DEV,service,call_command,41,0C904000,09867C78,ffeb33aa339e9c66,to=0C904000;from=09867C78
1,175.04,DEV->PC,mebius_service,,124,00000000,0C904000,56903d6a6d034a98,to=00000000;from=0C904000
1,175.186,PC->DEV,service,call_command,41,0C904000,09867C78,2ff2c7a379a9960e,to=0C904000;from=09867C78
1,176.651,DEV->PC,mebius_service,,124,00000000,0C904000,3e17a6350a9656cb,to=00000000;from=0C904000
