# MIC-185 192.168.9.155:4000; packets=1094
# idx  relative    delta direction flags      seq        ack        payload wire
    87    162.540    0.338 DEV->PC ACK        4169045433  533003167       0    64
    88    163.645    1.105 DEV->PC ACK|PSH    4169045433  533003167     124   178
    89    163.881    0.236 PC->DEV ACK|PSH     533003167 4169045557      48   102
    90    164.146    0.265 DEV->PC ACK        4169045557  533003215       0    64
    91    165.384    1.238 DEV->PC ACK|PSH    4169045557  533003215     124   178
    92    165.608    0.224 PC->DEV ACK|PSH     533003215 4169045681      48   102
    93    165.830    0.222 DEV->PC ACK        4169045681  533003263       0    64
    94    167.046    1.216 DEV->PC ACK|PSH    4169045681  533003263     124   178
    95    167.221    0.175 PC->DEV ACK|PSH     533003263 4169045805      48   102
    96    167.475    0.254 DEV->PC ACK        4169045805  533003311       0    64
    97    168.675    1.200 DEV->PC ACK|PSH    4169045805  533003311     124   178
    98    169.045    0.370 PC->DEV ACK|PSH     533003311 4169045929      48   102
    99    169.462    0.417 DEV->PC ACK        4169045929  533003359       0    64
   100    170.528    1.066 DEV->PC ACK|PSH    4169045929  533003359     124   178
   101    170.641    0.113 PC->DEV ACK|PSH     533003359 4169046053      48   102
   102    170.815    0.174 DEV->PC ACK        4169046053  533003407       0    64
   103    172.004    1.189 DEV->PC ACK|PSH    4169046053  533003407     124   178
   104    172.161    0.157 PC->DEV ACK|PSH     533003407 4169046177      48   102
   105    172.416    0.255 DEV->PC ACK        4169046177  533003455       0    64
   106    173.574    1.158 DEV->PC ACK|PSH    4169046177  533003455     124   178
   107    173.681    0.107 PC->DEV ACK|PSH     533003455 4169046301      48   102
   108    173.849    0.168 DEV->PC ACK        4169046301  533003503       0    64
   109    175.040    1.191 DEV->PC ACK|PSH    4169046301  533003503     124   178
   110    175.186    0.146 PC->DEV ACK|PSH     533003503 4169046425      48   102
   111    175.402    0.216 DEV->PC ACK        4169046425  533003551       0    64
   112    176.651    1.249 DEV->PC ACK|PSH    4169046425  533003551     124   178
   113    176.795    0.144 PC->DEV ACK|PSH     533003551 4169046549      48   102
   114    176.928    0.133 DEV->PC ACK        4169046549  533003599       0    64
   115    178.169    1.241 DEV->PC ACK|PSH    4169046549  533003599     124   178
   116    178.375    0.206 PC->DEV ACK|PSH     533003599 4169046673      48   102
   117    178.609    0.234 DEV->PC ACK        4169046673  533003647       0    64
   118    179.744    1.135 DEV->PC ACK|PSH    4169046673  533003647     124   178
   119    179.937    0.193 PC->DEV ACK|PSH     533003647 4169046797      48   102
   120    180.111    0.174 DEV->PC ACK        4169046797  533003695       0    64
   121    181.313    1.202 DEV->PC ACK|PSH    4169046797  533003695     124   178
   122    181.404    0.091 PC->DEV ACK|PSH     533003695 4169046921      48   102
   123    181.555    0.151 DEV->PC ACK        4169046921  533003743       0    64
   124    182.815    1.260 DEV->PC ACK|PSH    4169046921  533003743     124   178
   125    182.944    0.129 PC->DEV ACK|PSH     533003743 4169047045      48   102
   126    183.189    0.245 DEV->PC ACK        4169047045  533003791       0    64
   127    184.303    1.114 DEV->PC ACK|PSH    4169047045  533003791     124   178
   128    184.490    0.187 PC->DEV ACK|PSH     533003791 4169047169      48   102
   129    184.697    0.207 DEV->PC ACK        4169047169  533003839       0    64
   130    185.843    1.146 DEV->PC ACK|PSH    4169047169  533003839     124   178
   131    185.989    0.146 PC->DEV ACK|PSH     533003839 4169047293      48   102
   132    186.157    0.168 DEV->PC ACK        4169047293  533003887       0    64
   133    187.389    1.232 DEV->PC ACK|PSH    4169047293  533003887     124   178
   134    187.591    0.202 PC->DEV ACK|PSH     533003887 4169047417      48   102
   135    187.853    0.262 DEV->PC ACK        4169047417  533003935       0    64
   136    189.042    1.189 DEV->PC ACK|PSH    4169047417  533003935     124   178
   137    189.241    0.199 PC->DEV ACK|PSH     533003935 4169047541      48   102
   138    189.508    0.267 DEV->PC ACK        4169047541  533003983       0    64
   139    190.682    1.174 DEV->PC ACK|PSH    4169047541  533003983     124   178
   140    190.799    0.117 PC->DEV ACK|PSH     533003983 4169047665      48   102
   141    190.927    0.128 DEV->PC ACK        4169047665  533004031       0    64
   142    192.165    1.238 DEV->PC ACK|PSH    4169047665  533004031     124   178
   143    192.360    0.195 PC->DEV ACK|PSH     533004031 4169047789      48   102
   144    192.577    0.217 DEV->PC ACK        4169047789  533004079       0    64
   145    193.752    1.175 DEV->PC ACK|PSH    4169047789  533004079     124   178
   146    193.948    0.196 PC->DEV ACK|PSH     533004079 4169047913      48   102
   147    194.112    0.164 DEV->PC ACK        4169047913  533004127       0    64
   148    195.329    1.217 DEV->PC ACK|PSH    4169047913  533004127     124   178
   149    195.514    0.185 PC->DEV ACK|PSH     533004127 4169048037      48   102
   150    195.683    0.169 DEV->PC ACK        4169048037  533004175       0    64
   151    196.879    1.196 DEV->PC ACK|PSH    4169048037  533004175     124   178
   152    196.987    0.108 PC->DEV ACK|PSH     533004175 4169048161      48   102
   153    197.218    0.231 DEV->PC ACK        4169048161  533004223       0    64
   154    198.375    1.157 DEV->PC ACK|PSH    4169048161  533004223     124   178
   155    198.499    0.124 PC->DEV ACK|PSH     533004223 4169048285      48   102
   156    198.643    0.144 DEV->PC ACK        4169048285  533004271       0    64
   157    199.873    1.230 DEV->PC ACK|PSH    4169048285  533004271     124   178
   158    200.057    0.184 PC->DEV ACK|PSH     533004271 4169048409      48   102
   159    200.276    0.219 DEV->PC ACK        4169048409  533004319       0    64
   160    201.410    1.134 DEV->PC ACK|PSH    4169048409  533004319     124   178
   161    201.512    0.102 PC->DEV ACK|PSH     533004319 4169048533      48   102
   162    201.735    0.223 DEV->PC ACK        4169048533  533004367       0    64
   163    202.902    1.167 DEV->PC ACK|PSH    4169048533  533004367     124   178
   164    203.065    0.163 PC->DEV ACK|PSH     533004367 4169048657      48   102
   165    203.231    0.166 DEV->PC ACK        4169048657  533004415       0    64
   166    204.432    1.201 DEV->PC ACK|PSH    4169048657  533004415     124   178
   167    204.622    0.190 PC->DEV ACK|PSH     533004415 4169048781      48   102
   168    204.817    0.195 DEV->PC ACK        4169048781  533004463       0    64
   169    206.025    1.208 DEV->PC ACK|PSH    4169048781  533004463     124   178
   170    206.212    0.187 PC->DEV ACK|PSH     533004463 4169048905      48   102
   171    206.515    0.303 DEV->PC ACK        4169048905  533004511       0    64
   172    207.683    1.168 DEV->PC ACK|PSH    4169048905  533004511     124   178
   173    207.828    0.145 PC->DEV ACK|PSH     533004511 4169049029      48   102
   174    207.985    0.157 DEV->PC ACK        4169049029  533004559       0    64
   175    209.159    1.174 DEV->PC ACK|PSH    4169049029  533004559     124   178
   176    209.284    0.125 PC->DEV ACK|PSH     533004559 4169049153      48   102
   177    209.517    0.233 DEV->PC ACK        4169049153  533004607       0    64
   178    210.653    1.136 DEV->PC ACK|PSH    4169049153  533004607     124   178
   179    210.804    0.151 PC->DEV ACK|PSH     533004607 4169049277      48   102
   180    211.013    0.209 DEV->PC ACK        4169049277  533004655       0    64
   181    212.223    1.210 DEV->PC ACK|PSH    4169049277  533004655     124   178
   182    212.340    0.117 PC->DEV ACK|PSH     533004655 4169049401      48   102
   183    212.474    0.134 DEV->PC ACK        4169049401  533004703       0    64
   184    213.707    1.233 DEV->PC ACK|PSH    4169049401  533004703     124   178
   185    213.886    0.179 PC->DEV ACK|PSH     533004703 4169049525      48   102
   186    214.107    0.221 DEV->PC ACK        4169049525  533004751       0    64
   187    215.280    1.173 DEV->PC ACK|PSH    4169049525  533004751     124   178
   188    215.426    0.146 PC->DEV ACK|PSH     533004751 4169049649      48   102
   189    215.673    0.247 DEV->PC ACK        4169049649  533004799       0    64
   190    216.794    1.121 DEV->PC ACK|PSH    4169049649  533004799     124   178
   191    216.889    0.095 PC->DEV ACK|PSH     533004799 4169049773      48   102
   192    217.152    0.263 DEV->PC ACK        4169049773  533004847       0    64
   193    218.268    1.116 DEV->PC ACK|PSH    4169049773  533004847     124   178
   194    218.398    0.130 PC->DEV ACK|PSH     533004847 4169049897      48   102
   195    218.628    0.230 DEV->PC ACK        4169049897  533004895       0    64
   196    219.778    1.150 DEV->PC ACK|PSH    4169049897  533004895     124   178
   197    219.916    0.138 PC->DEV ACK|PSH     533004895 4169050021      48   102
   198    220.054    0.138 DEV->PC ACK        4169050021  533004943       0    64
   199    221.254    1.200 DEV->PC ACK|PSH    4169050021  533004943     124   178
   200    221.398    0.144 PC->DEV ACK|PSH     533004943 4169050145      48   102
   201    221.535    0.137 DEV->PC ACK        4169050145  533004991       0    64
   202    222.738    1.203 DEV->PC ACK|PSH    4169050145  533004991     124   178
   203    222.890    0.152 PC->DEV ACK|PSH     533004991 4169050269      48   102
   204    223.043    0.153 DEV->PC ACK        4169050269  533005039       0    64
   205    224.255    1.212 DEV->PC ACK|PSH    4169050269  533005039     124   178
   206    224.487    0.232 PC->DEV ACK|PSH     533005039 4169050393      48   102
   207    224.796    0.309 DEV->PC ACK        4169050393  533005087       0    64
   208    226.010    1.214 DEV->PC ACK|PSH    4169050393  533005087     124   178
   209    226.215    0.205 PC->DEV ACK|PSH     533005087 4169050517      48   102
