Номер изделия:;;
Дата испытания:;;
Вид нагружения:;;



;;время;810.000;879.606;882.456;885.250;887.969;890.863;893.738;896.769;899.919;921.931;923.756;925.744;927.919;930.569;934.100;972.581;986.619;1000.000;
;;TDD01[кгс/смкв];-0.000;4.998;10.017;15.013;20.013;25.028;30.035;35.038;36.610;30.030;25.032;20.001;15.013;10.002;4.997;-0.010;-0.024;-0.017;
;;ДП01[мм];0.002;-0.001;0.002;0.002;0.001;-0.001;-0.001;0.002;0.001;-0.000;0.000;0.002;-0.002;-0.002;0.002;0.002;0.001;-0.002;
;;ДП02[мм];-0.000;3.347;5.057;6.470;7.678;8.932;10.134;11.204;11.496;10.193;9.029;7.785;6.527;5.115;3.372;0.162;0.162;0.162;
;;ДП03[мм];-0.002;3.313;4.985;6.337;7.550;8.780;9.950;10.977;11.295;10.048;8.927;7.694;6.437;5.105;3.423;0.170;0.169;0.165;
;;ДП04[мм];-0.000;3.319;5.053;6.592;7.846;9.054;10.307;11.368;11.678;10.430;9.219;8.001;6.715;5.219;3.484;0.177;0.176;0.177;
;;ДП05[мм];-0.001;1.798;3.153;4.494;5.801;7.077;8.381;9.520;9.876;8.469;7.225;5.987;4.697;3.423;2.082;0.089;0.001;-0.001;
;;Таблица 1. Зависимость перемещения от давления



;;время;810.000;879.606;882.456;885.250;887.969;890.863;893.738;896.769;899.919;921.931;923.756;925.744;927.919;930.569;934.100;972.581;986.619;1000.000;
;;TDD01[кгс/смкв];-0.000;4.998;10.017;15.013;20.013;25.028;30.035;35.038;36.610;30.030;25.032;20.001;15.013;10.002;4.997;-0.010;-0.024;-0.017;
;;TD01[%];-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;
;;TD02[%];-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;
;;TD03[%];-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;-0.000;
;;Таблица 2. Зависимость деформации от давления


Испытания проводил;___________________
