2026-06-17 20:19:08.384 [DEBUG] [TID:15688|UIThread] 20:19:08.381 Project run-control config loaded: D:\works\OburecGH\Lazarus\RecorderLnx\config\projects\default\default.run-control.ini
2026-06-17 20:19:10.398 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_16 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.399 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_17 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.400 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_18 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.401 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_19 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.401 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_20 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.401 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_21 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.402 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_22 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.402 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_23 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.402 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_24 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.403 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_25 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
