index,time_iso,relative_ms,delta_ms,direction,src_ip,src_port,dst_ip,dst_port,wire_len,captured_len,ip_len,seq,ack,flags,tcp_payload_len,payload_hex,section,interface_id
39,2026-08-13T08:28:44.668298+03:00,18697.707,0.226,DEV->PC,192.168.9.155,4000,192.168.5.100,60964,64,64,40,3248082765,65043560,ACK,0,,1,0
40,2026-08-13T08:28:44.683165+03:00,18712.574,14.867,PC->DEV,192.168.5.100,60964,192.168.9.155,4000,94,94,80,65043560,3248082765,ACK|PSH,40,FE CA A0 A0 28 00 00 00 00 40 90 0C 20 7E B1 06 F6 F4 81 AA 0C F1 0C F1 34 00 01 00 00 00 00 00 40 00 00 00 08 00 02 00,1,0
41,2026-08-13T08:28:44.683356+03:00,18712.765,0.191,DEV->PC,192.168.9.155,4000,192.168.5.100,60964,64,64,40,3248082765,65043600,ACK,0,,1,0
42,2026-08-13T08:28:44.684589+03:00,18713.998,1.233,DEV->PC,192.168.9.155,4000,192.168.5.100,60964,154,154,140,3248082765,65043600,ACK|PSH,100,FE CA A0 A0 64 00 00 00 00 00 00 00 00 40 90 0C 9A 8A 30 AC 78 42 B2 C2 34 00 01 00 00 00 00 00 40 00 00 00 A7 00 00 00 06 18 40 01 00 00 00 00 00 00 00 00 70 30 A9 32 42 C7 DC 01 43 68 65 72 65 70 61 6E 6F 76 00 00 00 00 00 00 70 BF B2 02 64 BF B2 02 64 BF B2 02 00 02 00 00 A0 C9 53 D0 16 C8 DC 01,1,0
43,2026-08-13T08:28:44.731040+03:00,18760.449,46.451,PC->DEV,192.168.5.100,60964,192.168.9.155,4000,54,54,40,65043600,3248082865,ACK,0,,1,0
44,2026-08-13T08:28:49.692091+03:00,23721.5,4961.051,PC->DEV,192.168.5.100,60964,192.168.9.155,4000,55,55,41,65043599,3248082865,ACK,1,00,1,0
45,2026-08-13T08:28:49.692344+03:00,23721.753,0.253,DEV->PC,192.168.9.155,4000,192.168.5.100,60964,64,64,40,3248082865,65043600,ACK,0,,1,0
46,2026-08-13T08:28:51.240475+03:00,25269.884,1548.131,PC->DEV,192.168.5.100,60964,192.168.9.155,4000,54,54,40,65043600,3248082865,ACK|FIN,0,,1,0
47,2026-08-13T08:28:51.240777+03:00,25270.186,0.302,DEV->PC,192.168.9.155,4000,192.168.5.100,60964,64,64,40,3248082865,65043601,ACK,0,,1,0
48,2026-08-13T08:28:51.241103+03:00,25270.512,0.326,DEV->PC,192.168.9.155,4000,192.168.5.100,60964,64,64,40,3248082865,65043601,ACK|FIN,0,,1,0
49,2026-08-13T08:28:51.241128+03:00,25270.537,0.025,PC->DEV,192.168.5.100,60964,192.168.9.155,4000,54,54,40,65043601,3248082866,ACK,0,,1,0
50,2026-08-13T08:28:52.368051+03:00,26397.46,1126.923,PC->DEV,192.168.5.100,60971,192.168.9.155,4000,66,66,52,1688716900,0,SYN,0,,1,0
51,2026-08-13T08:28:52.368372+03:00,26397.781,0.321,DEV->PC,192.168.9.155,4000,192.168.5.100,60971,64,64,44,3258386432,1688716901,ACK|SYN,0,,1,0
52,2026-08-13T08:28:52.368417+03:00,26397.826,0.045,PC->DEV,192.168.5.100,60971,192.168.9.155,4000,54,54,40,1688716901,3258386433,ACK,0,,1,0
53,2026-08-13T08:28:53.404632+03:00,27434.041,1036.215,PC->DEV,192.168.5.100,60971,192.168.9.155,4000,94,94,80,1688716901,3258386433,ACK|PSH,40,FE CA A0 A0 28 00 00 00 00 40 90 0C 90 3C BA 06 46 B6 8A AA 0C F1 0C F1 34 00 01 00 00 00 00 00 40 00 00 00 08 00 02 00,1,0
54,2026-08-13T08:28:53.404886+03:00,27434.295,0.254,DEV->PC,192.168.9.155,4000,192.168.5.100,60971,64,64,40,3258386433,1688716941,ACK,0,,1,0
55,2026-08-13T08:28:53.406210+03:00,27435.619,1.324,DEV->PC,192.168.9.155,4000,192.168.5.100,60971,154,154,140,3258386433,1688716941,ACK|PSH,100,FE CA A0 A0 64 00 00 00 00 00 00 00 00 40 90 0C 9A 8A 30 AC 78 42 B2 C2 34 00 01 00 00 00 00 00 40 00 00 00 A7 00 00 00 06 18 40 01 00 00 00 00 00 00 00 00 70 30 A9 32 42 C7 DC 01 43 68 65 72 65 70 61 6E 6F 76 00 00 00 00 00 00 70 BF B2 02 64 BF B2 02 64 BF B2 02 00 02 00 00 A0 C9 53 D0 16 C8 DC 01,1,0
