# MIC-185 192.168.9.155:4000; packets=1803
# idx  relative    delta direction flags      seq        ack        payload wire
    84  36039.187    4.999 DEV->PC ACK|PSH    3263954569 2164023808      32    86
    85  36039.878    0.691 PC->DEV ACK|PSH    2164023808 3263954601      32    86
    86  36040.160    0.282 DEV->PC ACK        3263954601 2164023840       0    64
    87  36041.368    1.208 DEV->PC ACK|PSH    3263954601 2164023840      32    86
    88  36041.697    0.329 PC->DEV ACK|PSH    2164023840 3263954633      28    82
    89  36041.890    0.193 DEV->PC ACK        3263954633 2164023868       0    64
    90  36043.281    1.391 DEV->PC ACK|PSH    3263954633 2164023868      32    86
    91  36096.760   53.479 PC->DEV ACK        2164023868 3263954665       0    54
    92  40331.113 4234.353 PC->DEV ACK|PSH    2164023868 3263954665      40    94
    93  40331.410    0.297 DEV->PC ACK        3263954665 2164023908       0    64
    94  40332.776    1.366 DEV->PC ACK|PSH    3263954665 2164023908     100   154
    95  40342.592    9.816 PC->DEV ACK|PSH    2164023908 3263954765      40    94
    96  40342.783    0.191 DEV->PC ACK        3263954765 2164023948       0    64
    97  40343.976    1.193 DEV->PC ACK|PSH    3263954765 2164023948     100   154
    98  40391.500   47.524 PC->DEV ACK        2164023948 3263954865       0    54
    99  41477.665 1086.165 PC->DEV ACK|PSH    2164023948 3263954865      28    82
   100  41477.823    0.158 DEV->PC ACK        3263954865 2164023976       0    64
   101  41479.369    1.546 DEV->PC ACK|PSH    3263954865 2164023976     116   170
   102  41534.711   55.342 PC->DEV ACK        2164023976 3263954981       0    54
   103  41629.195   94.484 DEV->PC ACK        3263954981 2164023976    1460  1514
   104  41629.315    0.120 DEV->PC ACK        3263956441 2164023976    1460  1514
   105  41629.321    0.006 PC->DEV ACK        2164023976 3263957901       0    54
   106  41629.375    0.054 DEV->PC ACK|PSH    3263957901 2164023976    1220  1274
   107  41673.729   44.354 PC->DEV ACK        2164023976 3263959121       0    54
   108  41779.146  105.417 DEV->PC ACK        3263959121 2164023976    1460  1514
   109  41779.312    0.166 DEV->PC ACK        3263960581 2164023976    1460  1514
   110  41779.313    0.001 DEV->PC ACK|PSH    3263962041 2164023976    1220  1274
   111  41779.397    0.084 PC->DEV ACK        2164023976 3263963261       0    54
