connection,relative_ms,direction,event,ioctl,packet_size,id_to,id_from,sha256,detail
5,42679.104,DEV->PC,mebius_service,,4140,00000000,3E904000,31977330a7306ad2,to=00000000;from=3E904000
5,42829.043,DEV->PC,mebius_service,,4140,00000000,3E904000,6f9586a34bcd4903,to=00000000;from=3E904000
5,42979.005,DEV->PC,mebius_service,,4140,00000000,3E904000,f8ce8486188dcbda,to=00000000;from=3E904000
5,43070.32,DEV->PC,mebius_service,,84,00000000,3E904000,874b1d467c123239,to=00000000;from=3E904000
5,43129.013,DEV->PC,mebius_service,,4140,00000000,3E904000,31ab4ef6e16b5dcb,to=00000000;from=3E904000
5,43279.055,DEV->PC,mebius_service,,4140,00000000,3E904000,781d7a4759a4baa5,to=00000000;from=3E904000
5,43429.153,DEV->PC,mebius_service,,4140,00000000,3E904000,4133ebc5df6147ff,to=00000000;from=3E904000
5,43478.858,DEV->PC,mebius_service,,84,00000000,3E904000,b5082d50820a1206,to=00000000;from=3E904000
5,43579.059,DEV->PC,mebius_service,,4140,00000000,3E904000,a2b393d2e4a1db39,to=00000000;from=3E904000
5,43729.041,DEV->PC,mebius_service,,4140,00000000,3E904000,f753f34a6c1763bb,to=00000000;from=3E904000
5,43879.112,DEV->PC,mebius_service,,4140,00000000,3E904000,2e03052c704b136a,to=00000000;from=3E904000
5,44029.02,DEV->PC,mebius_service,,4140,00000000,3E904000,9521fbdaf846b69f,to=00000000;from=3E904000
5,44071.375,DEV->PC,mebius_service,,84,00000000,3E904000,b097247841335e8b,to=00000000;from=3E904000
5,44178.997,DEV->PC,mebius_service,,4140,00000000,3E904000,0eac5e6e01c90090,to=00000000;from=3E904000
5,44329.124,DEV->PC,mebius_service,,4140,00000000,3E904000,c3724e182bcb0139,to=00000000;from=3E904000
5,44479.231,DEV->PC,mebius_service,,4140,00000000,3E904000,da5ed1a6470200d6,to=00000000;from=3E904000
5,44479.41,DEV->PC,mebius_service,,84,00000000,3E904000,ef7087c7d7911b4b,to=00000000;from=3E904000
5,44628.99,DEV->PC,mebius_service,,4140,00000000,3E904000,b43e98a21deed757,to=00000000;from=3E904000
5,44779.002,DEV->PC,mebius_service,,4140,00000000,3E904000,44ea84583974a7f5,to=00000000;from=3E904000
5,44928.999,DEV->PC,mebius_service,,4140,00000000,3E904000,193c617280bda66f,to=00000000;from=3E904000
5,45070.669,DEV->PC,mebius_service,,84,00000000,3E904000,a3d232afd6d8004e,to=00000000;from=3E904000
5,45078.988,DEV->PC,mebius_service,,4140,00000000,3E904000,e170476f3d9b96e5,to=00000000;from=3E904000
5,45229.009,DEV->PC,mebius_service,,4140,00000000,3E904000,706b77c206c7fddc,to=00000000;from=3E904000
5,45378.993,DEV->PC,mebius_service,,4140,00000000,3E904000,856f711b4a2dcae5,to=00000000;from=3E904000
5,45478.84,DEV->PC,mebius_service,,84,00000000,3E904000,9215878f4dfdb087,to=00000000;from=3E904000
5,45529.075,DEV->PC,mebius_service,,4140,00000000,3E904000,60c261cf6fc43849,to=00000000;from=3E904000
5,45679.186,DEV->PC,mebius_service,,4140,00000000,3E904000,4ad76d0bb3349dec,to=00000000;from=3E904000
5,45829.154,DEV->PC,mebius_service,,4140,00000000,3E904000,fad50d9168a214f0,to=00000000;from=3E904000
5,45978.997,DEV->PC,mebius_service,,4140,00000000,3E904000,1423ae0469abc53c,to=00000000;from=3E904000
5,46070.699,DEV->PC,mebius_service,,84,00000000,3E904000,9c53c6a76d4e3b1c,to=00000000;from=3E904000
5,46128.985,DEV->PC,mebius_service,,4140,00000000,3E904000,06bb91f11440f636,to=00000000;from=3E904000
5,46279.106,DEV->PC,mebius_service,,4140,00000000,3E904000,443bafcd84012a33,to=00000000;from=3E904000
5,46428.978,DEV->PC,mebius_service,,4140,00000000,3E904000,563a108e9e2a12b9,to=00000000;from=3E904000
5,46478.773,DEV->PC,mebius_service,,84,00000000,3E904000,346b7de4cf0b2426,to=00000000;from=3E904000
5,46578.953,DEV->PC,mebius_service,,4140,00000000,3E904000,78a93f0c27dde4ee,to=00000000;from=3E904000
5,46729.042,DEV->PC,mebius_service,,4140,00000000,3E904000,e54185bde8aa485f,to=00000000;from=3E904000
5,46878.976,DEV->PC,mebius_service,,4140,00000000,3E904000,e33c802ef4f2fb8a,to=00000000;from=3E904000
5,47029.075,DEV->PC,mebius_service,,4140,00000000,3E904000,910d7b37780c2681,to=00000000;from=3E904000
5,47071.771,DEV->PC,mebius_service,,84,00000000,3E904000,421dc37aedb95638,to=00000000;from=3E904000
5,47178.952,DEV->PC,mebius_service,,4140,00000000,3E904000,c09d4b0515ee4e70,to=00000000;from=3E904000
